date	ouv	haut	bas	clot	vol	devise	
07/11/2012 00:00	19.02	19.02	18.75	18.75	0	EUR	
08/11/2012 00:00	18.865	18.865	18.635	18.635	0	EUR	
09/11/2012 00:00	18.67	18.67	18.64	18.645	25000	EUR	
12/11/2012 00:00	18.675	18.675	18.575	18.575	0	EUR	
13/11/2012 00:00	18.545	18.705	18.545	18.705	0	EUR	
14/11/2012 00:00	18.765	18.89	18.765	18.82	2000	EUR	
15/11/2012 00:00	18.77	18.77	18.64	18.64	2	EUR	
16/11/2012 00:00	18.665	18.665	18.54	18.54	1266	EUR	
19/11/2012 00:00	18.635	18.725	18.635	18.725	0	EUR	
20/11/2012 00:00	18.715	18.81	18.715	18.78	18042	EUR	
21/11/2012 00:00	18.8	18.87	18.8	18.87	0	EUR	
22/11/2012 00:00	18.925	19.05	18.925	19.05	0	EUR	
23/11/2012 00:00	19.065	19.18	19.065	19.18	0	EUR	
26/11/2012 00:00	19.17	19.17	19.1	19.1	0	EUR	
27/11/2012 00:00	19.265	19.265	19.105	19.105	160	EUR	
28/11/2012 00:00	19.075	19.21	19.075	19.21	11301	EUR	
29/11/2012 00:00	19.25	19.425	19.25	19.425	93	EUR	
30/11/2012 00:00	19.405	19.405	19.34	19.34	257	EUR	
03/12/2012 00:00	19.385	19.52	19.385	19.465	1147	EUR	
04/12/2012 00:00	19.465	19.53	19.465	19.48	508	EUR	
05/12/2012 00:00	19.58	19.63	19.58	19.63	0	EUR	
06/12/2012 00:00	19.72	19.75	19.66	19.66	7711	EUR	
07/12/2012 00:00	19.69	19.69	19.615	19.615	9400	EUR	
10/12/2012 00:00	19.55	19.655	19.55	19.645	59740	EUR	
11/12/2012 00:00	19.66	19.74	19.66	19.74	0	EUR	
12/12/2012 00:00	19.76	19.76	19.725	19.725	160	EUR	
13/12/2012 00:00	19.74	19.74	19.64	19.64	0	EUR	
14/12/2012 00:00	19.645	19.66	19.605	19.605	185	EUR	
17/12/2012 00:00	19.63	19.63	19.53	19.53	19502	EUR	
18/12/2012 00:00	19.64	19.665	19.64	19.665	1000	EUR	
19/12/2012 00:00	19.66	19.755	19.66	19.755	146400	EUR	
20/12/2012 00:00	19.72	19.85	19.72	19.85	0	EUR	
21/12/2012 00:00	19.815	19.815	19.705	19.765	1500	EUR	
27/12/2012 00:00	19.835	19.835	19.79	19.79	0	EUR	
28/12/2012 00:00	19.79	19.79	19.63	19.63	77	EUR	
02/01/2013 00:00	19.91	20.145	19.91	20.145	307	EUR	
03/01/2013 00:00	20.155	20.17	20.155	20.17	0	EUR	
04/01/2013 00:00	20.16	20.16	20.11	20.145	81860	EUR	
07/01/2013 00:00	20.09	20.09	19.99	19.99	0	EUR	
08/01/2013 00:00	20	20	19.985	19.985	0	EUR	
09/01/2013 00:00	20.015	20.015	19.94	19.94	0	EUR	
10/01/2013 00:00	19.93	20.01	19.93	19.94	126	EUR	
11/01/2013 00:00	20	20.005	19.985	20.005	747	EUR	
14/01/2013 00:00	20.035	20.035	19.9	19.9	0	EUR	
15/01/2013 00:00	19.935	20.02	19.935	20.02	0	EUR	
16/01/2013 00:00	20.025	20.025	19.985	19.985	0	EUR	
17/01/2013 00:00	20.04	20.17	20.04	20.16	20000	EUR	
18/01/2013 00:00	20.16	20.35	20.16	20.35	0	EUR	
21/01/2013 00:00	20.27	20.27	20.2	20.2	0	EUR	
22/01/2013 00:00	20.1	20.1	20.08	20.08	0	EUR	
23/01/2013 00:00	20.035	20.035	19.955	19.955	0	EUR	
24/01/2013 00:00	19.905	20.02	19.905	20.02	0	EUR	
25/01/2013 00:00	19.965	20.035	19.965	20.035	100	EUR	
28/01/2013 00:00	20.03	20.03	19.92	19.92	50	EUR	
29/01/2013 00:00	19.945	19.945	19.935	19.935	0	EUR	
30/01/2013 00:00	19.97	19.97	19.925	19.925	0	EUR	
31/01/2013 00:00	20	20	19.985	19.985	0	EUR	
01/02/2013 00:00	20.03	20.175	20.03	20.175	0	EUR	
04/02/2013 00:00	20.235	20.235	19.985	19.985	125	EUR	
05/02/2013 00:00	19.975	19.995	19.975	19.995	0	EUR	
06/02/2013 00:00	20.04	20.195	20.04	20.11	18896	EUR	
07/02/2013 00:00	20.105	20.125	20.105	20.125	127	EUR	
08/02/2013 00:00	20.22	20.41	20.22	20.41	0	EUR	
11/02/2013 00:00	20.235	20.365	20.235	20.235	0	EUR	
12/02/2013 00:00	20.215	20.215	20.205	20.205	0	EUR	
