date	ouv	haut	bas	clot	vol	devise	
07/11/2012 00:00	35.23	35.23	34.43	34.43	11342	EUR	
08/11/2012 00:00	34.59	34.59	34.25	34.25	3642	EUR	
09/11/2012 00:00	34.135	34.285	34.1	34.285	8506	EUR	
12/11/2012 00:00	34.26	34.265	34.145	34.145	1006	EUR	
13/11/2012 00:00	34.045	34.21	33.8	34.21	140	EUR	
14/11/2012 00:00	34.085	34.21	33.73	33.73	3761	EUR	
15/11/2012 00:00	33.585	33.7	33.485	33.5	10327	EUR	
16/11/2012 00:00	33.5	33.575	33.05	33.05	12972	EUR	
19/11/2012 00:00	33.255	33.93	33.255	33.93	3747	EUR	
20/11/2012 00:00	33.79	34.02	33.73	33.99	175795	EUR	
21/11/2012 00:00	33.98	34.165	33.98	34.15	1110	EUR	
22/11/2012 00:00	34.21	34.3	34.21	34.285	3564	EUR	
23/11/2012 00:00	34.435	34.435	34.35	34.4	20917	EUR	
26/11/2012 00:00	34.3	34.3	34.1	34.11	39454	EUR	
27/11/2012 00:00	34.345	34.345	33.99	34.04	8013	EUR	
28/11/2012 00:00	33.93	34.01	33.835	34.01	12803	EUR	
29/11/2012 00:00	34.115	34.375	34.08	34.3	29440	EUR	
30/11/2012 00:00	34.16	34.415	34.16	34.2	6707	EUR	
03/12/2012 00:00	34.33	34.515	34.155	34.155	9614	EUR	
04/12/2012 00:00	34.115	34.32	33.97	33.97	8548	EUR	
05/12/2012 00:00	34.075	34.12	33.85	33.89	13429	EUR	
06/12/2012 00:00	33.93	34.135	33.93	34.015	3244	EUR	
07/12/2012 00:00	34.065	34.08	33.86	33.875	4919	EUR	
10/12/2012 00:00	33.805	34.09	33.805	34.065	10216	EUR	
11/12/2012 00:00	34.04	34.155	33.935	34.075	37342	EUR	
12/12/2012 00:00	34.06	34.29	33.96	34.26	38965	EUR	
13/12/2012 00:00	34.18	34.195	34.08	34.08	8508	EUR	
14/12/2012 00:00	34.05	34.105	33.86	33.86	21224	EUR	
17/12/2012 00:00	33.91	33.965	33.83	33.965	16320	EUR	
18/12/2012 00:00	34.015	34.095	33.925	34.025	5168	EUR	
19/12/2012 00:00	34.08	34.2	34.08	34.2	38294	EUR	
20/12/2012 00:00	34.16	34.2	34.055	34.12	2648	EUR	
21/12/2012 00:00	34.035	34.125	33.815	34.04	8661	EUR	
27/12/2012 00:00	33.84	34.27	33.84	33.995	21839	EUR	
28/12/2012 00:00	34.04	34.04	33.74	33.74	3826	EUR	
02/01/2013 00:00	34.37	34.66	34.35	34.585	94501	EUR	
03/01/2013 00:00	34.52	34.885	34.52	34.885	1104	EUR	
04/01/2013 00:00	34.885	35.045	34.885	35.045	62012	EUR	
07/01/2013 00:00	35.01	35.01	34.695	34.705	7683	EUR	
08/01/2013 00:00	34.56	34.78	34.56	34.67	12929	EUR	
09/01/2013 00:00	34.705	34.995	34.705	34.995	7187	EUR	
10/01/2013 00:00	34.97	35.075	34.93	34.995	20682	EUR	
11/01/2013 00:00	35.03	35.03	34.78	34.785	1362	EUR	
14/01/2013 00:00	34.81	34.85	34.62	34.695	14746	EUR	
15/01/2013 00:00	34.655	34.865	34.615	34.865	1378	EUR	
16/01/2013 00:00	34.9	35	34.75	34.925	3340	EUR	
17/01/2013 00:00	34.9	34.975	34.9	34.975	228	EUR	
18/01/2013 00:00	35.01	35.01	34.905	34.905	20492	EUR	
21/01/2013 00:00	35.01	35.01	34.91	34.91	2259	EUR	
