date	ouv	haut	bas	clot	vol	devise	
07/11/2012 00:00	51.5	51.52	50.92	50.92	248	EUR	
08/11/2012 00:00	51.08	51.13	51.08	51.13	0	EUR	
09/11/2012 00:00	51.15	51.31	51.15	51.31	0	EUR	
12/11/2012 00:00	51.41	51.75	51.41	51.5	1085	EUR	
13/11/2012 00:00	51.52	51.68	51.24	51.68	644	EUR	
14/11/2012 00:00	51.49	51.49	51.07	51.07	8187	EUR	
15/11/2012 00:00	50.81	50.81	50.5	50.5	95	EUR	
16/11/2012 00:00	50.36	50.36	50.18	50.18	499	EUR	
19/11/2012 00:00	50.51	51.56	50.51	51.56	9725	EUR	
20/11/2012 00:00	51.36	51.76	51.36	51.76	690	EUR	
21/11/2012 00:00	51.85	52.03	51.84	52.03	450	EUR	
22/11/2012 00:00	52.12	52.12	52.09	52.09	57	EUR	
23/11/2012 00:00	52.06	52.41	52.06	52.34	50	EUR	
26/11/2012 00:00	52.36	52.41	52.18	52.41	29121	EUR	
27/11/2012 00:00	52.56	52.8	52.56	52.8	10	EUR	
28/11/2012 00:00	52.79	53.03	52.77	53.03	110	EUR	
29/11/2012 00:00	53.15	53.29	53.15	53.29	0	EUR	
30/11/2012 00:00	53.3	53.34	53.3	53.34	0	EUR	
03/12/2012 00:00	53.43	53.57	53.43	53.54	8300	EUR	
04/12/2012 00:00	53.54	53.76	53.54	53.65	3739	EUR	
05/12/2012 00:00	53.61	53.61	53.45	53.45	0	EUR	
06/12/2012 00:00	53.52	53.7	53.52	53.7	569	EUR	
07/12/2012 00:00	53.99	53.99	53.77	53.77	3	EUR	
10/12/2012 00:00	53.82	53.99	53.72	53.99	27662	EUR	
11/12/2012 00:00	53.95	53.95	53.87	53.87	5717	EUR	
12/12/2012 00:00	53.85	53.85	53.57	53.65	179	EUR	
13/12/2012 00:00	53.58	53.58	53.06	53.06	312	EUR	
14/12/2012 00:00	53.16	53.35	53.15	53.15	15	EUR	
17/12/2012 00:00	53.26	53.26	52.9	52.93	18741	EUR	
18/12/2012 00:00	53.07	53.07	52.93	52.95	15154	EUR	
19/12/2012 00:00	53.09	53.1	52.84	52.84	2508	EUR	
20/12/2012 00:00	53.02	53.02	52.74	52.84	211	EUR	
21/12/2012 00:00	52.91	52.91	52.71	52.84	1831	EUR	
27/12/2012 00:00	52.56	52.56	52.17	52.43	152	EUR	
28/12/2012 00:00	52.4	52.55	52.3	52.3	110	EUR	
02/01/2013 00:00	52.95	53.22	52.8	53.21	9614	EUR	
