date	ouv	haut	bas	clot	vol	devise	
07/11/2012 00:00	27.96	27.96	27.56	27.56	1990	EUR	
08/11/2012 00:00	27.67	27.67	27.43	27.43	0	EUR	
09/11/2012 00:00	27.53	27.53	27.45	27.52	39500	EUR	
12/11/2012 00:00	27.46	27.47	27.46	27.47	0	EUR	
13/11/2012 00:00	27.45	27.45	27.43	27.43	0	EUR	
14/11/2012 00:00	27.4	27.4	27.19	27.19	0	EUR	
15/11/2012 00:00	26.96	26.96	26.75	26.75	0	EUR	
16/11/2012 00:00	26.78	26.78	26.53	26.53	1555	EUR	
19/11/2012 00:00	26.73	26.96	26.73	26.96	0	EUR	
20/11/2012 00:00	27.01	27.01	26.95	27.01	14600	EUR	
21/11/2012 00:00	27.05	27.05	27	27.03	14600	EUR	
22/11/2012 00:00	27.13	27.24	27.13	27.24	0	EUR	
23/11/2012 00:00	27.33	27.38	27.33	27.38	0	EUR	
26/11/2012 00:00	27.33	27.33	27.26	27.26	0	EUR	
27/11/2012 00:00	27.41	27.47	27.38	27.38	7220	EUR	
28/11/2012 00:00	27.35	27.52	27.35	27.52	0	EUR	
29/11/2012 00:00	27.57	27.7	27.57	27.7	25000	EUR	
30/11/2012 00:00	27.67	27.67	27.67	27.67	0	EUR	
03/12/2012 00:00	27.47	27.64	27.47	27.47	0	EUR	
04/12/2012 00:00	27.47	27.47	27.38	27.38	0	EUR	
05/12/2012 00:00	27.6	27.6	27.55	27.55	0	EUR	
06/12/2012 00:00	27.63	27.83	27.63	27.83	242	EUR	
07/12/2012 00:00	27.87	27.87	27.79	27.79	0	EUR	
10/12/2012 00:00	27.79	27.87	27.79	27.87	0	EUR	
11/12/2012 00:00	27.81	28.1	27.81	28.1	0	EUR	
12/12/2012 00:00	28.05	28.07	28.05	28.07	0	EUR	
13/12/2012 00:00	28.05	28.05	27.91	27.91	0	EUR	
14/12/2012 00:00	27.91	27.93	27.91	27.93	0	EUR	
17/12/2012 00:00	28	28.18	28	28.18	42517	EUR	
18/12/2012 00:00	28.3	28.37	28.3	28.37	1800	EUR	
19/12/2012 00:00	28.33	28.44	28.33	28.44	542	EUR	
20/12/2012 00:00	28.4	28.4	28.39	28.39	0	EUR	
21/12/2012 00:00	28.42	28.42	28.26	28.26	1077	EUR	
27/12/2012 00:00	28.24	28.27	28.21	28.23	24633	EUR	
28/12/2012 00:00	28.19	28.19	27.96	27.96	30	EUR	
02/01/2013 00:00	28.61	28.61	28.61	28.61	2	EUR	
03/01/2013 00:00	28.69	28.77	28.65	28.77	175	EUR	
04/01/2013 00:00	28.69	28.74	28.69	28.74	0	EUR	
07/01/2013 00:00	28.79	28.79	28.49	28.49	0	EUR	
08/01/2013 00:00	28.48	28.58	28.48	28.58	0	EUR	
09/01/2013 00:00	28.63	28.63	28.33	28.41	4238	EUR	
10/01/2013 00:00	28.51	28.51	28.35	28.35	15	EUR	
11/01/2013 00:00	28.34	28.34	28.25	28.27	844	EUR	
14/01/2013 00:00	28.31	28.31	28.11	28.11	175	EUR	
15/01/2013 00:00	28.28	28.28	28.21	28.27	48	EUR	
16/01/2013 00:00	28.25	28.25	28.2	28.2	0	EUR	
17/01/2013 00:00	28.31	28.49	28.31	28.45	10125	EUR	
18/01/2013 00:00	28.46	28.46	28.41	28.41	0	EUR	
21/01/2013 00:00	28.57	28.57	28.49	28.49	0	EUR	
22/01/2013 00:00	28.55	28.6	28.55	28.6	0	EUR	
23/01/2013 00:00	28.55	28.7	28.55	28.7	0	EUR	
24/01/2013 00:00	28.66	28.66	28.66	28.66	0	EUR	
25/01/2013 00:00	28.63	28.87	28.63	28.87	20	EUR	
28/01/2013 00:00	28.9	28.9	28.77	28.77	0	EUR	
29/01/2013 00:00	28.79	28.79	28.78	28.78	0	EUR	
30/01/2013 00:00	28.71	28.73	28.71	28.73	0	EUR	
31/01/2013 00:00	28.79	28.79	28.51	28.51	0	EUR	
01/02/2013 00:00	28.55	28.57	28.55	28.57	0	EUR	
04/02/2013 00:00	28.61	28.61	28.46	28.46	0	EUR	
05/02/2013 00:00	28.59	28.59	28.51	28.51	0	EUR	
06/02/2013 00:00	28.61	28.61	28.58	28.58	0	EUR	
07/02/2013 00:00	28.61	28.61	28.58	28.58	0	EUR	
08/02/2013 00:00	28.72	28.95	28.72	28.95	0	EUR	
11/02/2013 00:00	28.89	29.02	28.89	28.89	0	EUR	
12/02/2013 00:00	28.93	29.14	28.93	29.14	0	EUR	
13/02/2013 00:00	29.15	29.15	29.14	29.14	0	EUR	
14/02/2013 00:00	29.07	29.07	28.91	28.91	0	EUR	
15/02/2013 00:00	28.99	28.99	28.91	28.91	0	EUR	
18/02/2013 00:00	29.04	29.04	28.89	28.89	1264	EUR	
19/02/2013 00:00	28.92	29.05	28.92	29.05	0	EUR	
20/02/2013 00:00	29.05	29.14	29.05	29.14	0	EUR	
21/02/2013 00:00	29.06	29.06	28.94	28.94	20500	EUR	
22/02/2013 00:00	29.02	29.32	29.02	29.32	0	EUR	
25/02/2013 00:00	29.34	29.34	29.15	29.15	358	EUR	
26/02/2013 00:00	28.86	28.86	28.77	28.77	30	EUR	
27/02/2013 00:00	28.74	28.81	28.74	28.81	0	EUR	
28/02/2013 00:00	28.88	29.17	28.88	29.17	0	EUR	
01/03/2013 00:00	29.15	29.15	29.15	29.15	0	EUR	
04/03/2013 00:00	28.97	29.09	28.97	29.09	0	EUR	
05/03/2013 00:00	29.34	29.64	29.34	29.64	0	EUR	
06/03/2013 00:00	29.69	29.77	29.6	29.6	100	EUR	
07/03/2013 00:00	29.64	29.66	29.58	29.58	381	EUR	
08/03/2013 00:00	29.77	29.81	29.77	29.81	175	EUR	
11/03/2013 00:00	29.75	29.78	29.74	29.78	3300	EUR	
12/03/2013 00:00	29.67	29.81	29.67	29.81	135	EUR	
13/03/2013 00:00	29.69	29.69	29.65	29.66	8750	EUR	
