date	ouv	haut	bas	clot	vol	devise	
07/11/2012 00:00	21.82	21.82	21.395	21.395	60	EUR	
08/11/2012 00:00	21.575	21.575	21.45	21.45	0	EUR	
09/11/2012 00:00	21.485	21.505	21.425	21.425	43672	EUR	
12/11/2012 00:00	21.43	21.43	21.32	21.34	539	EUR	
13/11/2012 00:00	21.29	21.445	21.29	21.445	0	EUR	
14/11/2012 00:00	21.48	21.625	21.465	21.465	201	EUR	
15/11/2012 00:00	21.35	21.35	21.155	21.155	175	EUR	
16/11/2012 00:00	21.25	21.25	21.065	21.065	120	EUR	
19/11/2012 00:00	21.34	21.66	21.34	21.66	10	EUR	
20/11/2012 00:00	21.655	21.75	21.655	21.73	9000	EUR	
21/11/2012 00:00	21.715	22	21.715	22	1120	EUR	
22/11/2012 00:00	22.095	22.21	22.095	22.19	345	EUR	
23/11/2012 00:00	22.255	22.505	22.255	22.505	0	EUR	
26/11/2012 00:00	22.18	22.51	22.18	22.47	8963	EUR	
27/11/2012 00:00	22.585	22.66	22.51	22.53	10118	EUR	
28/11/2012 00:00	22.52	22.59	22.39	22.59	11754	EUR	
29/11/2012 00:00	22.84	22.945	22.84	22.925	13426	EUR	
30/11/2012 00:00	22.885	23.01	22.885	22.905	17097	EUR	
03/12/2012 00:00	22.96	23.14	22.96	23.05	34870	EUR	
04/12/2012 00:00	22.975	22.975	22.89	22.91	49599	EUR	
05/12/2012 00:00	23.095	23.095	22.895	22.98	5976	EUR	
06/12/2012 00:00	23.09	23.23	23.09	23.23	60139	EUR	
07/12/2012 00:00	23.335	23.35	23.33	23.35	100	EUR	
10/12/2012 00:00	23.335	23.41	23.25	23.41	74292	EUR	
11/12/2012 00:00	23.495	23.55	23.44	23.55	11010	EUR	
12/12/2012 00:00	23.605	23.605	23.4	23.4	795	EUR	
13/12/2012 00:00	23.355	23.355	23.235	23.235	6072	EUR	
14/12/2012 00:00	23.265	23.375	23.255	23.29	2666	EUR	
17/12/2012 00:00	23.32	23.355	23.305	23.35	17414	EUR	
18/12/2012 00:00	23.455	23.62	23.45	23.575	5426	EUR	
19/12/2012 00:00	23.705	23.79	23.7	23.77	8933	EUR	
20/12/2012 00:00	23.6	23.7	23.6	23.7	85	EUR	
21/12/2012 00:00	23.58	23.58	23.425	23.445	40250	EUR	
27/12/2012 00:00	23.56	23.56	23.415	23.415	39821	EUR	
28/12/2012 00:00	23.46	23.46	23.31	23.33	33016	EUR	
02/01/2013 00:00	23.99	24.08	23.99	24.08	39956	EUR	
03/01/2013 00:00	24.19	24.28	24.155	24.28	23000	EUR	
04/01/2013 00:00	24.12	24.205	24.105	24.2	229	EUR	
07/01/2013 00:00	24.11	24.16	24.005	24.16	26945	EUR	
