date	ouv	haut	bas	clot	vol	devise	
07/11/2012 00:00	25.28	25.3	24.76	24.76	113750	EUR	
08/11/2012 00:00	24.945	24.945	24.745	24.745	966	EUR	
09/11/2012 00:00	24.77	24.77	24.5	24.75	3300	EUR	
12/11/2012 00:00	24.755	24.755	24.655	24.655	0	EUR	
13/11/2012 00:00	24.34	24.565	24.25	24.565	15061	EUR	
14/11/2012 00:00	24.575	24.575	24.425	24.44	400	EUR	
15/11/2012 00:00	24.37	24.45	24.31	24.31	300	EUR	
16/11/2012 00:00	24.335	24.375	23.93	23.93	9973	EUR	
19/11/2012 00:00	24.13	24.27	24.07	24.27	2158	EUR	
20/11/2012 00:00	24.24	24.34	24.24	24.34	10110	EUR	
21/11/2012 00:00	24.325	24.56	24.325	24.51	4821	EUR	
22/11/2012 00:00	24.53	24.545	24.38	24.475	8979	EUR	
23/11/2012 00:00	24.5	24.545	24.34	24.545	21446	EUR	
26/11/2012 00:00	24.505	24.505	24.445	24.455	770	EUR	
27/11/2012 00:00	24.545	24.545	24.23	24.23	287	EUR	
28/11/2012 00:00	24.095	24.24	24.095	24.24	4666	EUR	
29/11/2012 00:00	24.315	24.71	24.315	24.71	798	EUR	
30/11/2012 00:00	24.595	24.64	24.585	24.585	15082	EUR	
03/12/2012 00:00	24.63	24.645	24.565	24.585	12169	EUR	
04/12/2012 00:00	24.575	24.62	24.485	24.495	21249	EUR	
05/12/2012 00:00	24.585	24.665	24.57	24.655	12542	EUR	
06/12/2012 00:00	24.715	24.865	24.67	24.865	7824	EUR	
07/12/2012 00:00	24.795	24.795	24.68	24.72	552	EUR	
10/12/2012 00:00	24.67	24.725	24.57	24.725	2825	EUR	
11/12/2012 00:00	24.675	24.865	24.675	24.86	9098	EUR	
12/12/2012 00:00	24.87	24.925	24.86	24.925	460	EUR	
13/12/2012 00:00	24.89	25.02	24.88	24.98	13822	EUR	
14/12/2012 00:00	24.975	25.005	24.83	24.83	25925	EUR	
17/12/2012 00:00	24.545	24.555	24.38	24.55	32157	EUR	
18/12/2012 00:00	24.605	24.64	24.48	24.5	7170	EUR	
19/12/2012 00:00	24.485	24.555	24.485	24.555	16850	EUR	
20/12/2012 00:00	24.475	24.51	24.445	24.51	17391	EUR	
21/12/2012 00:00	24.415	24.505	24.415	24.49	26875	EUR	
27/12/2012 00:00	24.36	24.605	24.36	24.49	1474	EUR	
28/12/2012 00:00	24.51	24.51	24.265	24.265	929	EUR	
02/01/2013 00:00	24.795	24.83	24.795	24.83	8496	EUR	
03/01/2013 00:00	24.86	24.925	24.81	24.925	5433	EUR	
04/01/2013 00:00	24.895	25.09	24.885	25.09	9282	EUR	
07/01/2013 00:00	25.125	25.135	25.02	25.025	3402	EUR	
08/01/2013 00:00	25.14	25.275	25.14	25.18	7601	EUR	
09/01/2013 00:00	25.32	25.875	25.32	25.855	61799	EUR	
10/01/2013 00:00	25.86	25.86	25.625	25.72	27843	EUR	
11/01/2013 00:00	25.775	25.775	25.6	25.6	226269	EUR	
14/01/2013 00:00	25.675	25.74	25.54	25.545	34304	EUR	
15/01/2013 00:00	25.44	25.44	25.195	25.32	54494	EUR	
16/01/2013 00:00	25.205	25.205	25.115	25.135	1607	EUR	
17/01/2013 00:00	25.29	25.295	25.215	25.295	34943	EUR	
18/01/2013 00:00	25.36	25.36	25.305	25.305	0	EUR	
21/01/2013 00:00	25.415	25.415	25.38	25.41	7332	EUR	
22/01/2013 00:00	25.36	25.36	25.2	25.285	11250	EUR	
23/01/2013 00:00	25.305	25.305	25.13	25.185	14890	EUR	
24/01/2013 00:00	25.14	25.355	25.14	25.355	1519	EUR	
25/01/2013 00:00	25.29	25.41	25.29	25.41	22185	EUR	
28/01/2013 00:00	25.5	25.51	25.44	25.44	3350	EUR	
29/01/2013 00:00	25.485	25.575	25.485	25.575	1000	EUR	
30/01/2013 00:00	25.605	25.605	25.57	25.57	1780	EUR	
31/01/2013 00:00	25.54	25.54	25.36	25.435	110019	EUR	
01/02/2013 00:00	25.57	25.57	25.36	25.38	13720	EUR	
04/02/2013 00:00	25.285	25.285	24.985	24.985	100	EUR	
05/02/2013 00:00	24.825	24.9	24.815	24.855	5800	EUR	
06/02/2013 00:00	24.83	24.85	24.75	24.76	10211	EUR	
07/02/2013 00:00	24.88	24.88	24.83	24.83	0	EUR	
08/02/2013 00:00	24.945	24.995	24.945	24.995	1830	EUR	
11/02/2013 00:00	24.915	24.915	24.8	24.8	14000	EUR	
12/02/2013 00:00	24.72	24.765	24.645	24.755	20527	EUR	
13/02/2013 00:00	24.75	24.785	24.75	24.785	875	EUR	
14/02/2013 00:00	24.72	24.72	24.55	24.59	6650	EUR	
15/02/2013 00:00	24.525	24.525	24.41	24.41	0	EUR	
18/02/2013 00:00	24.305	24.335	24.255	24.32	2658	EUR	
19/02/2013 00:00	24.245	24.275	24.12	24.275	94552	EUR	
20/02/2013 00:00	24.245	24.25	23.98	23.98	8041	EUR	
21/02/2013 00:00	23.76	23.79	23.65	23.65	55753	EUR	
22/02/2013 00:00	23.85	24.125	23.85	24.125	8462	EUR	
25/02/2013 00:00	24.105	24.195	24.075	24.075	6299	EUR	
26/02/2013 00:00	23.87	23.87	23.725	23.725	400	EUR	
27/02/2013 00:00	23.9	24.115	23.9	24.115	4635	EUR	
28/02/2013 00:00	24.23	24.235	24.115	24.235	113	EUR	
01/03/2013 00:00	24.16	24.295	24.045	24.27	14906	EUR	
04/03/2013 00:00	24.3	24.55	24.3	24.495	15574	EUR	
05/03/2013 00:00	24.715	24.855	24.605	24.855	15563	EUR	
06/03/2013 00:00	25.215	25.325	25.205	25.205	59817	EUR	
07/03/2013 00:00	25.135	25.15	25.105	25.105	17200	EUR	
08/03/2013 00:00	25.275	25.7	25.275	25.7	57550	EUR	
11/03/2013 00:00	25.7	25.775	25.66	25.775	24385	EUR	
12/03/2013 00:00	25.76	25.77	25.635	25.715	20670	EUR	
13/03/2013 00:00	25.665	25.665	25.515	25.555	8418	EUR	
14/03/2013 00:00	25.59	26.265	25.59	26.265	22249	EUR	
15/03/2013 00:00	26.305	26.305	26.15	26.16	55246	EUR	
18/03/2013 00:00	25.88	26.185	25.88	26.185	4515	EUR	
19/03/2013 00:00	26.215	26.46	26.215	26.36	25300	EUR	
20/03/2013 00:00	26.365	26.395	26.275	26.335	2574	EUR	
21/03/2013 00:00	26.24	26.24	26.16	26.175	10111	EUR	
22/03/2013 00:00	26.2	26.34	26.2	26.34	70	EUR	
25/03/2013 00:00	26.655	26.7	26.445	26.445	69300	EUR	
