date	ouv	haut	bas	clot	vol	devise	
07/11/2012 00:00	14.605	14.605	14.455	14.455	0	EUR	
08/11/2012 00:00	14.515	14.515	14.45	14.45	19500	EUR	
09/11/2012 00:00	14.43	14.475	14.43	14.455	31748	EUR	
12/11/2012 00:00	14.47	14.51	14.46	14.46	27608	EUR	
13/11/2012 00:00	14.46	14.55	14.46	14.55	0	EUR	
14/11/2012 00:00	14.535	14.56	14.44	14.44	1330	EUR	
15/11/2012 00:00	14.4	14.4	14.185	14.185	10736	EUR	
16/11/2012 00:00	14.18	14.18	14.085	14.14	6	EUR	
19/11/2012 00:00	14.215	14.315	14.215	14.315	0	EUR	
20/11/2012 00:00	14.31	14.565	14.31	14.565	0	EUR	
21/11/2012 00:00	14.51	14.525	14.45	14.46	35138	EUR	
22/11/2012 00:00	14.55	14.62	14.55	14.62	0	EUR	
23/11/2012 00:00	14.61	14.68	14.61	14.68	0	EUR	
26/11/2012 00:00	14.67	14.7	14.67	14.7	240	EUR	
27/11/2012 00:00	14.82	14.825	14.745	14.745	300	EUR	
28/11/2012 00:00	14.735	14.755	14.68	14.755	77	EUR	
29/11/2012 00:00	14.78	14.85	14.78	14.85	0	EUR	
30/11/2012 00:00	14.81	14.81	14.77	14.77	0	EUR	
03/12/2012 00:00	14.825	14.825	14.79	14.8	18	EUR	
04/12/2012 00:00	14.795	14.845	14.795	14.845	0	EUR	
05/12/2012 00:00	14.865	14.885	14.865	14.885	0	EUR	
06/12/2012 00:00	14.945	14.98	14.945	14.98	0	EUR	
07/12/2012 00:00	15.005	15.03	14.98	15.03	13000	EUR	
10/12/2012 00:00	15.02	15.055	15.02	15.055	0	EUR	
11/12/2012 00:00	15.085	15.145	15.085	15.145	0	EUR	
12/12/2012 00:00	15.1	15.15	15.1	15.125	1493	EUR	
13/12/2012 00:00	15.11	15.11	15.05	15.05	0	EUR	
14/12/2012 00:00	15.05	15.055	15.05	15.05	195	EUR	
17/12/2012 00:00	15.075	15.075	15.035	15.06	13000	EUR	
18/12/2012 00:00	15.135	15.15	15.1	15.15	2660	EUR	
19/12/2012 00:00	15.125	15.29	15.125	15.29	4200	EUR	
20/12/2012 00:00	15.3	15.37	15.3	15.33	8149	EUR	
21/12/2012 00:00	15.285	15.285	15.185	15.185	0	EUR	
27/12/2012 00:00	15.115	15.115	15.1	15.1	189	EUR	
28/12/2012 00:00	15.13	15.13	15.035	15.035	316	EUR	
02/01/2013 00:00	15.24	15.415	15.24	15.415	2771	EUR	
03/01/2013 00:00	15.395	15.495	15.375	15.495	577	EUR	
04/01/2013 00:00	15.48	15.57	15.48	15.57	225	EUR	
07/01/2013 00:00	15.52	15.625	15.52	15.575	768	EUR	
08/01/2013 00:00	15.515	15.575	15.51	15.51	50	EUR	
09/01/2013 00:00	15.56	15.56	15.47	15.47	6739	EUR	
10/01/2013 00:00	15.48	15.485	15.455	15.455	4075	EUR	
11/01/2013 00:00	15.465	15.465	15.46	15.46	0	EUR	
14/01/2013 00:00	15.47	15.47	15.39	15.39	0	EUR	
15/01/2013 00:00	15.385	15.455	15.385	15.455	0	EUR	
16/01/2013 00:00	15.46	15.5	15.46	15.5	0	EUR	
17/01/2013 00:00	15.485	15.545	15.485	15.545	654	EUR	
18/01/2013 00:00	15.54	15.645	15.54	15.61	1055	EUR	
21/01/2013 00:00	15.66	15.66	15.645	15.645	40	EUR	
22/01/2013 00:00	15.62	15.685	15.62	15.685	0	EUR	
23/01/2013 00:00	15.635	15.655	15.61	15.655	15250	EUR	
24/01/2013 00:00	15.71	15.78	15.71	15.77	200	EUR	
25/01/2013 00:00	15.74	15.95	15.74	15.94	1511	EUR	
28/01/2013 00:00	15.885	15.885	15.845	15.845	700	EUR	
29/01/2013 00:00	15.89	15.89	15.87	15.87	80	EUR	
30/01/2013 00:00	15.86	15.92	15.8	15.8	400	EUR	
31/01/2013 00:00	15.81	15.84	15.74	15.74	200	EUR	
01/02/2013 00:00	15.765	15.87	15.765	15.87	175	EUR	
04/02/2013 00:00	15.925	16.015	15.845	15.845	817	EUR	
05/02/2013 00:00	15.88	15.88	15.795	15.795	100	EUR	
06/02/2013 00:00	15.86	16.03	15.86	15.915	23252	EUR	
07/02/2013 00:00	15.955	16.13	15.955	16.13	0	EUR	
08/02/2013 00:00	16.24	16.385	16.24	16.385	59	EUR	
11/02/2013 00:00	16.37	16.37	16.155	16.155	368	EUR	
12/02/2013 00:00	16.18	16.215	16.18	16.215	0	EUR	
13/02/2013 00:00	16.205	16.275	16.205	16.275	12500	EUR	
14/02/2013 00:00	16.285	16.34	16.24	16.31	48762	EUR	
15/02/2013 00:00	16.37	16.435	16.35	16.4	19740	EUR	
18/02/2013 00:00	16.435	16.435	16.29	16.29	252	EUR	
19/02/2013 00:00	16.34	16.48	16.34	16.48	946	EUR	
20/02/2013 00:00	16.37	16.37	16.31	16.345	2984	EUR	
21/02/2013 00:00	16.31	16.31	16.175	16.175	551	EUR	
22/02/2013 00:00	16.275	16.275	16.25	16.25	0	EUR	
25/02/2013 00:00	16.205	16.205	16	16.025	1660	EUR	
26/02/2013 00:00	15.9	16.01	15.9	16.01	185	EUR	
27/02/2013 00:00	16.025	16.07	16.025	16.07	0	EUR	
28/02/2013 00:00	16.18	16.32	16.18	16.28	34340	EUR	
01/03/2013 00:00	16.29	16.53	16.29	16.52	45210	EUR	
04/03/2013 00:00	16.48	16.54	16.48	16.54	0	EUR	
05/03/2013 00:00	16.64	16.815	16.64	16.785	550	EUR	
06/03/2013 00:00	16.74	16.8	16.74	16.79	2360	EUR	
07/03/2013 00:00	16.76	16.76	16.6	16.6	766	EUR	
