date	ouv	haut	bas	clot	vol	devise	
07/11/2012 00:00	28.605	28.605	28.04	28.04	22268	EUR	
08/11/2012 00:00	28.045	28.045	27.81	27.81	1339	EUR	
09/11/2012 00:00	27.81	27.81	27.5	27.57	8040	EUR	
12/11/2012 00:00	27.575	27.6	27.525	27.525	3450	EUR	
13/11/2012 00:00	26.905	26.95	26.74	26.95	13915	EUR	
14/11/2012 00:00	26.985	27.035	26.945	27.035	2545	EUR	
15/11/2012 00:00	26.905	26.905	26.76	26.76	2481	EUR	
16/11/2012 00:00	26.76	26.76	26.48	26.48	416	EUR	
19/11/2012 00:00	26.68	26.89	26.68	26.89	33442	EUR	
20/11/2012 00:00	26.815	26.865	26.815	26.865	0	EUR	
21/11/2012 00:00	26.965	27.09	26.965	27.085	1403	EUR	
22/11/2012 00:00	27.145	27.16	27.145	27.16	0	EUR	
23/11/2012 00:00	27.22	27.27	27.05	27.27	8000	EUR	
26/11/2012 00:00	27.205	27.205	27.195	27.195	0	EUR	
27/11/2012 00:00	27.365	27.365	27.045	27.045	0	EUR	
28/11/2012 00:00	27.01	27.05	26.92	27.05	35613	EUR	
29/11/2012 00:00	27.075	27.455	27.075	27.455	1792	EUR	
30/11/2012 00:00	27.42	27.42	27.285	27.285	0	EUR	
03/12/2012 00:00	27.39	27.47	27.345	27.345	2150	EUR	
04/12/2012 00:00	27.31	27.425	27.31	27.425	275	EUR	
05/12/2012 00:00	27.445	27.54	27.445	27.5	53501	EUR	
06/12/2012 00:00	27.185	27.255	27.12	27.175	465	EUR	
07/12/2012 00:00	27.23	27.23	27.09	27.145	5622	EUR	
10/12/2012 00:00	27.075	27.08	26.96	27.08	28208	EUR	
11/12/2012 00:00	27.17	27.515	27.145	27.515	1690	EUR	
12/12/2012 00:00	27.54	27.66	27.54	27.65	4381	EUR	
13/12/2012 00:00	27.615	27.62	27.51	27.57	2583	EUR	
14/12/2012 00:00	27.675	27.75	27.53	27.53	924	EUR	
17/12/2012 00:00	27.575	27.615	27.46	27.615	13391	EUR	
18/12/2012 00:00	27.715	27.82	27.715	27.81	15018	EUR	
19/12/2012 00:00	27.89	27.96	27.825	27.885	9390	EUR	
20/12/2012 00:00	27.755	27.9	27.755	27.9	33652	EUR	
21/12/2012 00:00	27.805	27.905	27.805	27.865	5100	EUR	
27/12/2012 00:00	27.88	27.88	27.825	27.825	0	EUR	
28/12/2012 00:00	27.86	27.86	27.58	27.645	9943	EUR	
02/01/2013 00:00	28.07	28.27	28.05	28.22	2469	EUR	
03/01/2013 00:00	28.245	28.245	28.1	28.195	10751	EUR	
04/01/2013 00:00	28.21	28.33	28.21	28.33	2576	EUR	
07/01/2013 00:00	28.25	28.25	27.905	27.905	14600	EUR	
08/01/2013 00:00	27.885	27.95	27.86	27.86	4632	EUR	
09/01/2013 00:00	27.965	28.09	27.89	28.09	4683	EUR	
10/01/2013 00:00	28.13	28.13	27.82	27.82	15529	EUR	
11/01/2013 00:00	27.895	27.895	27.69	27.69	1300	EUR	
14/01/2013 00:00	27.79	27.79	27.5	27.525	690	EUR	
15/01/2013 00:00	27.505	27.59	27.43	27.59	2313	EUR	
16/01/2013 00:00	27.585	27.585	27.51	27.51	0	EUR	
