date	ouv	haut	bas	clot	vol	devise	
07/11/2012 00:00	13.66	13.69	13.46	13.46	52688	EUR	
08/11/2012 00:00	13.51	13.51	13.395	13.395	1441	EUR	
09/11/2012 00:00	13.395	13.395	13.265	13.315	7630	EUR	
12/11/2012 00:00	13.305	13.31	13.275	13.275	3580	EUR	
13/11/2012 00:00	13.205	13.235	13.075	13.22	5595	EUR	
14/11/2012 00:00	13.22	13.24	13.135	13.15	40814	EUR	
15/11/2012 00:00	13.085	13.085	13.01	13.015	4930	EUR	
16/11/2012 00:00	13.03	13.03	12.8	12.8	1280	EUR	
19/11/2012 00:00	12.89	12.985	12.89	12.985	0	EUR	
20/11/2012 00:00	12.98	13.01	12.98	12.99	124	EUR	
21/11/2012 00:00	13.005	13.095	13.005	13.095	4050	EUR	
22/11/2012 00:00	13.125	13.155	13.125	13.155	70	EUR	
23/11/2012 00:00	13.165	13.225	13.15	13.225	6590	EUR	
26/11/2012 00:00	13.215	13.225	13.19	13.2	38480	EUR	
27/11/2012 00:00	13.28	13.28	13.17	13.17	649	EUR	
28/11/2012 00:00	13.19	13.225	13.14	13.225	11262	EUR	
29/11/2012 00:00	13.27	13.44	13.27	13.44	830	EUR	
30/11/2012 00:00	13.42	13.425	13.365	13.365	600	EUR	
03/12/2012 00:00	13.43	13.455	13.39	13.39	4187	EUR	
04/12/2012 00:00	13.39	13.42	13.385	13.385	7450	EUR	
05/12/2012 00:00	13.405	13.485	13.405	13.485	7680	EUR	
06/12/2012 00:00	13.515	13.54	13.515	13.54	0	EUR	
07/12/2012 00:00	13.555	13.565	13.47	13.505	3600	EUR	
10/12/2012 00:00	13.505	13.55	13.465	13.55	6620	EUR	
11/12/2012 00:00	13.54	13.64	13.54	13.625	7065	EUR	
12/12/2012 00:00	13.395	13.445	13.395	13.445	2073	EUR	
13/12/2012 00:00	13.45	13.47	13.425	13.455	827	EUR	
14/12/2012 00:00	13.455	13.46	13.445	13.445	753	EUR	
17/12/2012 00:00	13.395	13.42	13.35	13.42	22332	EUR	
18/12/2012 00:00	13.43	13.45	13.39	13.42	1700	EUR	
19/12/2012 00:00	13.44	13.485	13.42	13.42	11604	EUR	
20/12/2012 00:00	13.4	13.475	13.4	13.475	20832	EUR	
21/12/2012 00:00	13.47	13.47	13.405	13.445	2060	EUR	
27/12/2012 00:00	13.42	13.465	13.41	13.41	3866	EUR	
28/12/2012 00:00	13.43	13.43	13.32	13.32	2195	EUR	
02/01/2013 00:00	13.545	13.635	13.52	13.635	1720	EUR	
03/01/2013 00:00	13.635	13.675	13.635	13.655	3586	EUR	
04/01/2013 00:00	13.665	13.71	13.645	13.71	27223	EUR	
07/01/2013 00:00	13.695	13.73	13.66	13.665	2111	EUR	
08/01/2013 00:00	13.65	13.705	13.645	13.645	34394	EUR	
09/01/2013 00:00	13.695	13.775	13.695	13.775	400	EUR	
10/01/2013 00:00	13.775	13.775	13.71	13.71	3860	EUR	
11/01/2013 00:00	13.7	13.7	13.63	13.655	12230	EUR	
14/01/2013 00:00	13.68	13.68	13.575	13.575	650	EUR	
15/01/2013 00:00	13.55	13.55	13.5	13.54	1980	EUR	
16/01/2013 00:00	13.535	13.535	13.45	13.47	5686	EUR	
17/01/2013 00:00	13.485	13.54	13.465	13.54	2280	EUR	
18/01/2013 00:00	13.545	13.565	13.54	13.54	7740	EUR	
21/01/2013 00:00	13.575	13.585	13.55	13.585	1601	EUR	
22/01/2013 00:00	13.55	13.55	13.46	13.515	1055	EUR	
23/01/2013 00:00	13.515	13.515	13.36	13.435	30380	EUR	
24/01/2013 00:00	13.405	13.5	13.405	13.495	6750	EUR	
25/01/2013 00:00	13.465	13.495	13.465	13.485	5345	EUR	
28/01/2013 00:00	13.53	13.53	13.455	13.455	4444	EUR	
29/01/2013 00:00	13.495	13.51	13.475	13.51	1684	EUR	
30/01/2013 00:00	13.53	13.55	13.44	13.44	16160	EUR	
31/01/2013 00:00	13.43	13.43	13.33	13.345	5946	EUR	
01/02/2013 00:00	13.345	13.36	13.305	13.305	13	EUR	
04/02/2013 00:00	13.31	13.355	13.16	13.16	14093	EUR	
05/02/2013 00:00	13.22	13.225	13.21	13.21	200	EUR	
06/02/2013 00:00	13.22	13.255	13.145	13.2	5522	EUR	
