date	ouv	haut	bas	clot	vol	devise	
05/06/2014 00:00	10.13	10.13	10.13	10.13	0	EUR	
06/06/2014 00:00	10.14	10.18	10.14	10.18	87	EUR	
09/06/2014 00:00	10.17	10.25	10.17	10.25	0	EUR	
10/06/2014 00:00	10.23	10.27	10.23	10.27	0	EUR	
11/06/2014 00:00	10.27	10.29	10.23	10.23	915	EUR	
12/06/2014 00:00	10.18	10.18	10.18	10.18	915	EUR	
13/06/2014 00:00	10.16	10.18	10.16	10.18	687	EUR	
16/06/2014 00:00	10.16	10.16	10.12	10.12	0	EUR	
17/06/2014 00:00	10.17	10.18	10.17	10.18	0	EUR	
18/06/2014 00:00	10.19	10.19	10.15	10.15	0	EUR	
19/06/2014 00:00	10.19	10.19	10.18	10.18	0	EUR	
20/06/2014 00:00	10.19	10.25	10.19	10.25	0	EUR	
23/06/2014 00:00	10.25	10.28	10.22	10.22	2133	EUR	
24/06/2014 00:00	10.22	10.25	10.2	10.25	860	EUR	
25/06/2014 00:00	10.16	10.18	10.16	10.16	2800	EUR	
26/06/2014 00:00	10.16	10.18	10.14	10.14	371	EUR	
27/06/2014 00:00	10.13	10.17	10.13	10.15	1723	EUR	
30/06/2014 00:00	10.16	10.16	10.11	10.11	724	EUR	
01/07/2014 00:00	10.12	10.2	10.12	10.18	2800	EUR	
02/07/2014 00:00	10.22	10.23	10.21	10.21	14783	EUR	
03/07/2014 00:00	10.21	10.29	10.21	10.29	150	EUR	
04/07/2014 00:00	10.3	10.33	10.3	10.3	3260	EUR	
07/07/2014 00:00	10.31	10.31	10.27	10.27	2000	EUR	
08/07/2014 00:00	10.29	10.29	10.19	10.19	2879	EUR	
09/07/2014 00:00	10.23	10.26	10.21	10.21	1802	EUR	
10/07/2014 00:00	10.22	10.24	10.19	10.2	422	EUR	
11/07/2014 00:00	10.22	10.25	10.22	10.22	125	EUR	
14/07/2014 00:00	10.27	10.3	10.27	10.3	1223	EUR	
15/07/2014 00:00	10.3	10.32	10.3	10.32	1010	EUR	
16/07/2014 00:00	10.36	10.42	10.36	10.39	5035	EUR	
17/07/2014 00:00	10.39	10.56	10.39	10.39	77917	EUR	
18/07/2014 00:00	10.32	10.38	10.32	10.38	45	EUR	
21/07/2014 00:00	10.39	10.39	10.34	10.34	320	EUR	
22/07/2014 00:00	10.38	10.45	10.38	10.45	0	EUR	
23/07/2014 00:00	10.45	10.48	10.44	10.44	114	EUR	
24/07/2014 00:00	10.44	10.47	10.44	10.45	6876	EUR	
25/07/2014 00:00	10.42	10.45	10.37	10.37	100	EUR	
28/07/2014 00:00	10.38	10.38	10.34	10.37	2710	EUR	
29/07/2014 00:00	10.41	10.41	10.4	10.4	0	EUR	
30/07/2014 00:00	10.39	10.41	10.39	10.39	43680	EUR	
31/07/2014 00:00	10.38	10.38	10.27	10.27	4280	EUR	
01/08/2014 00:00	10.21	10.22	10.12	10.12	9712	EUR	
04/08/2014 00:00	10.16	10.16	10.12	10.12	500	EUR	
05/08/2014 00:00	10.14	10.19	10.14	10.17	3442	EUR	
06/08/2014 00:00	10.12	10.15	10.11	10.15	3234	EUR	
07/08/2014 00:00	10.13	10.18	10.13	10.13	1525	EUR	
08/08/2014 00:00	10.03	10.11	10.01	10.1	11066	EUR	
11/08/2014 00:00	10.19	10.23	10.19	10.23	1837	EUR	
12/08/2014 00:00	10.22	10.22	10.2	10.2	0	EUR	
13/08/2014 00:00	10.23	10.28	10.21	10.28	3797	EUR	
14/08/2014 00:00	10.27	10.29	10.27	10.28	7143	EUR	
15/08/2014 00:00	10.53	10.53	10.24	10.24	4211	EUR	
18/08/2014 00:00	10.31	10.39	10.31	10.39	394	EUR	
19/08/2014 00:00	10.42	10.47	10.42	10.47	2257	EUR	
20/08/2014 00:00	10.47	10.53	10.47	10.52	4602	EUR	
21/08/2014 00:00	10.56	10.59	10.56	10.59	6853	EUR	
22/08/2014 00:00	10.59	10.61	10.59	10.61	3280	EUR	
25/08/2014 00:00	10.68	10.7	10.68	10.7	45	EUR	
26/08/2014 00:00	10.67	10.73	10.67	10.73	4802	EUR	
27/08/2014 00:00	10.96	10.96	10.7	10.7	7980	EUR	
28/08/2014 00:00	10.7	10.7	10.67	10.7	861	EUR	
29/08/2014 00:00	10.73	10.73	10.69	10.73	1100	EUR	
01/09/2014 00:00	10.76	10.76	10.74	10.74	7825	EUR	
02/09/2014 00:00	10.79	10.79	10.75	10.75	1875	EUR	
03/09/2014 00:00	10.76	10.79	10.74	10.74	14968	EUR	
04/09/2014 00:00	10.72	11.08	10.72	10.9	2307	EUR	
05/09/2014 00:00	10.92	10.93	10.86	10.86	4833	EUR	
08/09/2014 00:00	10.93	10.93	10.92	10.92	18065	EUR	
09/09/2014 00:00	10.98	10.99	10.9	10.9	8787	EUR	
10/09/2014 00:00	10.88	10.91	10.86	10.88	12188	EUR	
11/09/2014 00:00	10.92	10.92	10.84	10.87	13604	EUR	
12/09/2014 00:00	10.89	10.91	10.85	10.85	21341	EUR	
15/09/2014 00:00	10.83	10.87	10.83	10.84	12303	EUR	
16/09/2014 00:00	10.87	10.89	10.84	10.89	9610	EUR	
17/09/2014 00:00	10.94	10.96	10.92	10.92	21470	EUR	
18/09/2014 00:00	11.01	11.08	11	11.05	18859	EUR	
19/09/2014 00:00	11.12	11.17	11.11	11.14	13659	EUR	
22/09/2014 00:00	11.09	11.12	11.08	11.09	6936	EUR	
23/09/2014 00:00	11.05	11.05	10.98	10.99	27611	EUR	
24/09/2014 00:00	10.98	11.08	10.95	11.08	12546	EUR	
25/09/2014 00:00	11.15	11.2	11	11.03	32483	EUR	
26/09/2014 00:00	11.02	11.24	10.98	11.06	18938	EUR	
29/09/2014 00:00	11.13	11.13	11.03	11.09	7207	EUR	
30/09/2014 00:00	11.13	11.25	11.13	11.21	5415	EUR	
01/10/2014 00:00	11.16	11.19	11.06	11.06	46555	EUR	
02/10/2014 00:00	11.02	11.02	10.91	10.91	14455	EUR	
03/10/2014 00:00	10.99	11.17	10.99	11.17	2245	EUR	
06/10/2014 00:00	11.26	11.47	11.19	11.19	25598	EUR	
07/10/2014 00:00	11.09	11.13	11	11.01	7570	EUR	
08/10/2014 00:00	10.96	10.96	10.88	10.91	17261	EUR	
09/10/2014 00:00	10.98	11.03	10.98	10.98	529	EUR	
10/10/2014 00:00	10.87	10.94	10.81	10.88	18940	EUR	
13/10/2014 00:00	10.76	10.81	10.75	10.77	14885	EUR	
14/10/2014 00:00	10.65	10.91	10.63	10.71	6671	EUR	
15/10/2014 00:00	10.69	10.7	10.35	10.35	8305	EUR	
16/10/2014 00:00	10.44	10.44	10.28	10.44	3016	EUR	
17/10/2014 00:00	10.44	10.62	10.43	10.62	6674	EUR	
20/10/2014 00:00	10.67	10.67	10.55	10.55	16419	EUR	
21/10/2014 00:00	10.52	10.75	10.52	10.75	665	EUR	
22/10/2014 00:00	10.8	10.87	10.79	10.87	5650	EUR	
23/10/2014 00:00	10.81	10.93	10.79	10.92	2934	EUR	
24/10/2014 00:00	10.89	10.92	10.88	10.92	2356	EUR	
27/10/2014 00:00	10.99	10.99	10.91	10.91	7285	EUR	
28/10/2014 00:00	10.98	10.98	10.94	10.95	1570	EUR	
29/10/2014 00:00	11.05	11.05	11.01	11.01	970	EUR	
30/10/2014 00:00	11.21	11.21	11.19	11.21	75	EUR	
31/10/2014 00:00	11.41	11.46	11.41	11.45	1935	EUR	
03/11/2014 00:00	11.48	11.5	11.48	11.48	3754	EUR	
04/11/2014 00:00	11.46	11.47	11.4	11.4	1296	EUR	
05/11/2014 00:00	11.4	11.56	11.4	11.56	1348	EUR	
06/11/2014 00:00	11.77	11.77	11.53	11.67	1000	EUR	
07/11/2014 00:00	11.8	11.8	11.68	11.69	2292	EUR	
10/11/2014 00:00	11.86	11.86	11.64	11.71	1780	EUR	
11/11/2014 00:00	11.75	11.76	11.71	11.71	1442	EUR	
12/11/2014 00:00	11.66	11.67	11.63	11.67	641	EUR	
13/11/2014 00:00	11.72	11.74	11.7	11.7	703	EUR	
14/11/2014 00:00	11.9	11.9	11.69	11.69	4623	EUR	
17/11/2014 00:00	11.85	11.85	11.65	11.7	174	EUR	
18/11/2014 00:00	11.93	11.93	11.68	11.68	2776	EUR	
19/11/2014 00:00	11.66	11.66	11.65	11.65	944	EUR	
20/11/2014 00:00	11.8	11.8	11.62	11.69	2657	EUR	
21/11/2014 00:00	11.71	11.91	11.71	11.91	699	EUR	
24/11/2014 00:00	11.91	12.08	11.85	11.85	2461	EUR	
25/11/2014 00:00	12.08	12.08	11.83	11.83	4931	EUR	
26/11/2014 00:00	11.85	11.88	11.78	11.78	2170	EUR	
27/11/2014 00:00	11.81	11.84	11.81	11.84	200	EUR	
28/11/2014 00:00	11.87	11.91	11.87	11.91	0	EUR	
01/12/2014 00:00	11.81	11.86	11.71	11.81	5043	EUR	
02/12/2014 00:00	11.85	11.92	11.85	11.92	2723	EUR	
03/12/2014 00:00	11.96	12.05	11.96	12.03	4551	EUR	
04/12/2014 00:00	12.09	12.09	11.86	11.86	1818	EUR	
05/12/2014 00:00	11.99	12.11	11.99	12.09	860	EUR	
08/12/2014 00:00	12.13	12.13	12.08	12.08	3751	EUR	
09/12/2014 00:00	11.95	11.95	11.8	11.81	4280	EUR	
10/12/2014 00:00	11.91	11.91	11.75	11.77	500	EUR	
11/12/2014 00:00	11.69	11.87	11.69	11.87	5596	EUR	
12/12/2014 00:00	11.75	11.75	11.56	11.56	6089	EUR	
15/12/2014 00:00	11.52	11.61	11.42	11.43	3377	EUR	
16/12/2014 00:00	11.47	11.56	11.32	11.56	1929	EUR	
17/12/2014 00:00	11.41	11.47	11.37	11.47	11077	EUR	
18/12/2014 00:00	11.73	11.85	11.72	11.85	938	EUR	
19/12/2014 00:00	12.06	12.09	11.99	12.05	3830	EUR	
22/12/2014 00:00	12.07	12.12	12.07	12.12	1337	EUR	
