date	ouv	haut	bas	clot	vol	devise	
17/06/2014 00:00	10.02	10.02	10.02	10.02	0	EUR	
18/06/2014 00:00	10.04	10.04	9.98	9.98	0	EUR	
19/06/2014 00:00	10.05	10.07	10.05	10.07	0	EUR	
20/06/2014 00:00	10.08	10.08	10.06	10.06	0	EUR	
23/06/2014 00:00	10.06	10.06	10.02	10.02	0	EUR	
24/06/2014 00:00	10.05	10.08	10.05	10.08	0	EUR	
25/06/2014 00:00	10.06	10.08	10.05	10.05	80	EUR	
26/06/2014 00:00	10.15	10.15	10.13	10.13	500	EUR	
27/06/2014 00:00	10.15	10.22	10.15	10.15	300	EUR	
30/06/2014 00:00	10.15	10.17	10.15	10.17	0	EUR	
01/07/2014 00:00	10.23	10.23	10.23	10.23	0	EUR	
02/07/2014 00:00	10.29	10.29	10.28	10.28	565	EUR	
03/07/2014 00:00	10.27	10.3	10.27	10.3	0	EUR	
04/07/2014 00:00	10.32	10.32	10.26	10.26	0	EUR	
07/07/2014 00:00	10.25	10.25	10.18	10.18	0	EUR	
08/07/2014 00:00	10.19	10.19	10.07	10.07	0	EUR	
09/07/2014 00:00	10.08	10.1	10.08	10.1	0	EUR	
10/07/2014 00:00	10.11	10.11	10.11	10.11	0	EUR	
11/07/2014 00:00	10.16	10.16	10.14	10.14	0	EUR	
14/07/2014 00:00	10.19	10.24	10.19	10.2	1198	EUR	
15/07/2014 00:00	10.18	10.18	10.16	10.16	0	EUR	
16/07/2014 00:00	10.19	10.32	10.19	10.27	1472	EUR	
17/07/2014 00:00	10.27	10.3	10.27	10.3	50	EUR	
18/07/2014 00:00	10.29	10.29	10.29	10.29	0	EUR	
21/07/2014 00:00	10.31	10.31	10.23	10.23	501	EUR	
22/07/2014 00:00	10.26	10.34	10.26	10.34	0	EUR	
23/07/2014 00:00	10.33	10.35	10.33	10.35	0	EUR	
24/07/2014 00:00	10.35	10.35	10.33	10.33	0	EUR	
25/07/2014 00:00	10.32	10.32	10.21	10.21	0	EUR	
28/07/2014 00:00	10.2	10.2	10.2	10.2	0	EUR	
29/07/2014 00:00	10.24	10.28	10.24	10.28	0	EUR	
30/07/2014 00:00	10.3	10.3	10.23	10.23	0	EUR	
31/07/2014 00:00	10.23	10.23	10.16	10.16	0	EUR	
01/08/2014 00:00	10.15	10.15	10.03	10.03	275	EUR	
04/08/2014 00:00	10.04	10.06	9.97	9.97	20	EUR	
05/08/2014 00:00	10	10.03	10	10.03	0	EUR	
06/08/2014 00:00	9.96	9.97	9.9	9.9	50	EUR	
07/08/2014 00:00	9.9	9.96	9.9	9.96	0	EUR	
08/08/2014 00:00	9.9	9.92	9.9	9.92	330	EUR	
11/08/2014 00:00	9.96	10.08	9.96	10.08	0	EUR	
12/08/2014 00:00	10.06	10.07	10.06	10.07	0	EUR	
13/08/2014 00:00	10.09	10.15	10.09	10.12	49	EUR	
14/08/2014 00:00	10.12	10.22	10.12	10.22	0	EUR	
15/08/2014 00:00	10.24	10.33	10.24	10.25	1400	EUR	
18/08/2014 00:00	10.28	10.28	10.28	10.28	0	EUR	
19/08/2014 00:00	10.32	10.34	10.28	10.28	251	EUR	
20/08/2014 00:00	10.28	10.33	10.22	10.22	1008	EUR	
21/08/2014 00:00	10.28	10.28	10.27	10.27	200	EUR	
