date	ouv	haut	bas	clot	vol	devise	
12/06/2014 00:00	10.39	10.39	10.39	10.39	0	EUR	
13/06/2014 00:00	10.35	10.36	10.35	10.36	0	EUR	
16/06/2014 00:00	10.37	10.37	10.3	10.3	965	EUR	
17/06/2014 00:00	10.29	10.3	10.29	10.3	0	EUR	
18/06/2014 00:00	10.27	10.27	10.27	10.27	0	EUR	
19/06/2014 00:00	10.29	10.34	10.29	10.32	353	EUR	
20/06/2014 00:00	10.26	10.31	10.26	10.29	1450	EUR	
23/06/2014 00:00	10.27	10.27	10.26	10.26	0	EUR	
24/06/2014 00:00	10.28	10.32	10.28	10.32	200	EUR	
25/06/2014 00:00	10.26	10.26	10.26	10.26	0	EUR	
26/06/2014 00:00	10.32	10.32	10.32	10.32	0	EUR	
27/06/2014 00:00	10.32	10.34	10.32	10.33	178	EUR	
30/06/2014 00:00	10.33	10.33	10.3	10.3	1318	EUR	
01/07/2014 00:00	10.36	10.36	10.36	10.36	0	EUR	
02/07/2014 00:00	10.44	10.47	10.44	10.47	0	EUR	
03/07/2014 00:00	10.49	10.56	10.49	10.56	9949	EUR	
04/07/2014 00:00	10.54	10.58	10.54	10.58	1100	EUR	
07/07/2014 00:00	10.59	10.59	10.57	10.57	441	EUR	
08/07/2014 00:00	10.58	10.58	10.51	10.51	120	EUR	
09/07/2014 00:00	10.46	10.5	10.46	10.46	876	EUR	
10/07/2014 00:00	10.47	10.5	10.44	10.44	520	EUR	
11/07/2014 00:00	10.46	10.5	10.46	10.47	70	EUR	
14/07/2014 00:00	10.53	10.53	10.52	10.52	936	EUR	
15/07/2014 00:00	10.51	10.55	10.51	10.54	3000	EUR	
16/07/2014 00:00	10.56	10.91	10.56	10.61	3983	EUR	
17/07/2014 00:00	10.59	10.61	10.59	10.59	476	EUR	
18/07/2014 00:00	10.58	10.63	10.58	10.63	0	EUR	
21/07/2014 00:00	10.59	10.6	10.58	10.58	400	EUR	
22/07/2014 00:00	10.66	10.74	10.66	10.74	571	EUR	
23/07/2014 00:00	10.79	10.85	10.79	10.85	217	EUR	
24/07/2014 00:00	10.83	10.87	10.83	10.86	2600	EUR	
25/07/2014 00:00	10.81	10.85	10.81	10.83	668	EUR	
28/07/2014 00:00	10.86	10.89	10.86	10.89	400	EUR	
29/07/2014 00:00	10.92	10.97	10.92	10.96	5040	EUR	
30/07/2014 00:00	10.98	11.03	10.97	10.97	700	EUR	
31/07/2014 00:00	10.94	10.94	10.82	10.82	62	EUR	
01/08/2014 00:00	10.8	10.8	10.76	10.76	0	EUR	
04/08/2014 00:00	10.82	10.82	10.82	10.82	0	EUR	
05/08/2014 00:00	10.8	10.82	10.8	10.8	3036	EUR	
06/08/2014 00:00	10.8	10.8	10.75	10.75	105	EUR	
07/08/2014 00:00	10.71	10.76	10.71	10.71	702	EUR	
08/08/2014 00:00	10.62	10.68	10.62	10.66	750	EUR	
11/08/2014 00:00	10.71	10.8	10.71	10.8	300	EUR	
12/08/2014 00:00	10.78	10.81	10.78	10.81	0	EUR	
13/08/2014 00:00	10.85	10.96	10.85	10.96	0	EUR	
14/08/2014 00:00	10.93	10.95	10.92	10.95	400	EUR	
15/08/2014 00:00	10.96	11	10.88	10.88	618	EUR	
18/08/2014 00:00	10.96	11.2	10.96	11.01	1786	EUR	
19/08/2014 00:00	11.06	11.1	11.06	11.1	1300	EUR	
20/08/2014 00:00	11.12	11.15	11.12	11.15	90	EUR	
21/08/2014 00:00	11.11	11.13	11.11	11.11	5120	EUR	
22/08/2014 00:00	11.13	11.17	11.13	11.15	880	EUR	
25/08/2014 00:00	11.48	11.48	11.21	11.24	5537	EUR	
26/08/2014 00:00	11.2	11.27	11.2	11.25	4871	EUR	
27/08/2014 00:00	11.27	11.29	11.26	11.28	2515	EUR	
28/08/2014 00:00	11.23	11.51	11.2	11.21	4434	EUR	
29/08/2014 00:00	11.26	11.28	11.21	11.23	2572	EUR	
01/09/2014 00:00	11.31	11.56	11.28	11.28	3105	EUR	
02/09/2014 00:00	11.25	11.27	11.24	11.24	5525	EUR	
03/09/2014 00:00	11.61	11.61	11.33	11.33	3045	EUR	
04/09/2014 00:00	11.34	11.58	11.34	11.55	8211	EUR	
05/09/2014 00:00	11.49	11.5	11.44	11.47	5407	EUR	
08/09/2014 00:00	11.53	11.53	11.48	11.48	3675	EUR	
09/09/2014 00:00	11.51	11.55	11.44	11.44	2622	EUR	
10/09/2014 00:00	11.31	11.31	11.28	11.31	3217	EUR	
11/09/2014 00:00	11.3	11.53	11.2	11.23	9026	EUR	
12/09/2014 00:00	11.23	11.5	11.15	11.15	30433	EUR	
15/09/2014 00:00	11.35	11.36	11.05	11.07	6838	EUR	
16/09/2014 00:00	11.01	11.24	10.96	11.06	7117	EUR	
17/09/2014 00:00	11.39	11.39	11.04	11.06	4050	EUR	
18/09/2014 00:00	11.04	11.33	11.03	11.07	7164	EUR	
19/09/2014 00:00	11.38	11.38	11.08	11.09	6522	EUR	
22/09/2014 00:00	11.38	11.38	10.96	10.98	29462	EUR	
23/09/2014 00:00	11.26	11.26	10.88	10.9	10388	EUR	
24/09/2014 00:00	11.21	11.21	10.96	11.03	11094	EUR	
25/09/2014 00:00	11.35	11.35	10.89	10.89	4943	EUR	
26/09/2014 00:00	10.9	11.16	10.87	10.9	4124	EUR	
29/09/2014 00:00	11.21	11.21	10.75	10.76	4579	EUR	
30/09/2014 00:00	10.82	11.06	10.78	10.82	8339	EUR	
01/10/2014 00:00	10.83	10.83	10.79	10.79	2469	EUR	
02/10/2014 00:00	10.72	10.73	10.64	10.64	15319	EUR	
03/10/2014 00:00	10.76	11.18	10.76	10.84	16152	EUR	
06/10/2014 00:00	10.89	11.19	10.88	10.93	33302	EUR	
07/10/2014 00:00	10.86	10.92	10.8	10.86	18878	EUR	
08/10/2014 00:00	10.75	10.77	10.69	10.69	4794	EUR	
09/10/2014 00:00	10.99	11.1	10.78	10.8	35186	EUR	
10/10/2014 00:00	10.65	10.66	10.55	10.55	9250	EUR	
13/10/2014 00:00	10.52	10.64	10.52	10.6	4283	EUR	
14/10/2014 00:00	10.55	10.62	10.54	10.61	3520	EUR	
15/10/2014 00:00	10.62	10.62	10.46	10.5	1591	EUR	
16/10/2014 00:00	10.48	10.77	10.32	10.77	11753	EUR	
17/10/2014 00:00	10.46	10.62	10.45	10.62	2596	EUR	
20/10/2014 00:00	10.65	10.65	10.58	10.61	20121	EUR	
21/10/2014 00:00	10.57	10.75	10.57	10.74	12329	EUR	
22/10/2014 00:00	10.7	10.8	10.7	10.8	492	EUR	
23/10/2014 00:00	10.84	10.84	10.79	10.83	1140	EUR	
24/10/2014 00:00	10.8	10.83	10.76	10.83	1040	EUR	
27/10/2014 00:00	10.79	10.79	10.73	10.73	496	EUR	
28/10/2014 00:00	10.83	10.9	10.83	10.88	1063	EUR	
29/10/2014 00:00	10.9	11	10.9	10.95	1680	EUR	
