date	ouv	haut	bas	clot	vol	devise	
28/05/2014 00:00	10.63	10.63	10.59	10.59	148	EUR	
29/05/2014 00:00	10.64	10.64	10.64	10.64	0	EUR	
30/05/2014 00:00	10.58	10.6	10.48	10.48	73	EUR	
02/06/2014 00:00	10.51	10.55	10.51	10.55	0	EUR	
03/06/2014 00:00	10.56	10.56	10.56	10.56	0	EUR	
04/06/2014 00:00	10.52	10.53	10.51	10.51	149	EUR	
05/06/2014 00:00	10.55	10.6	10.55	10.6	0	EUR	
06/06/2014 00:00	10.56	10.73	10.56	10.73	0	EUR	
09/06/2014 00:00	10.78	10.78	10.78	10.78	0	EUR	
10/06/2014 00:00	10.77	10.77	10.77	10.77	0	EUR	
11/06/2014 00:00	10.87	10.87	10.86	10.86	80	EUR	
12/06/2014 00:00	10.86	10.89	10.84	10.84	1400	EUR	
13/06/2014 00:00	10.78	10.8	10.78	10.8	0	EUR	
16/06/2014 00:00	10.76	10.76	10.69	10.69	0	EUR	
17/06/2014 00:00	10.75	10.75	10.73	10.73	0	EUR	
18/06/2014 00:00	10.68	10.68	10.68	10.68	0	EUR	
19/06/2014 00:00	10.74	10.77	10.74	10.74	169	EUR	
20/06/2014 00:00	10.69	10.73	10.69	10.73	1460	EUR	
23/06/2014 00:00	10.71	10.71	10.69	10.69	0	EUR	
24/06/2014 00:00	10.73	10.82	10.73	10.82	350	EUR	
25/06/2014 00:00	10.72	10.73	10.69	10.69	7760	EUR	
26/06/2014 00:00	10.74	10.74	10.74	10.74	0	EUR	
27/06/2014 00:00	10.73	10.73	10.72	10.72	552	EUR	
30/06/2014 00:00	10.72	10.75	10.7	10.7	2945	EUR	
01/07/2014 00:00	10.74	10.79	10.74	10.78	494	EUR	
02/07/2014 00:00	10.81	10.88	10.81	10.85	2002	EUR	
03/07/2014 00:00	10.84	10.93	10.84	10.93	0	EUR	
04/07/2014 00:00	10.92	10.99	10.92	10.94	1294	EUR	
07/07/2014 00:00	10.98	10.98	10.95	10.95	1050	EUR	
08/07/2014 00:00	10.97	10.99	10.93	10.93	2017	EUR	
09/07/2014 00:00	10.9	10.91	10.9	10.91	911	EUR	
10/07/2014 00:00	10.91	10.93	10.86	10.86	461	EUR	
11/07/2014 00:00	10.85	10.91	10.85	10.91	583	EUR	
14/07/2014 00:00	10.94	10.97	10.93	10.97	1675	EUR	
15/07/2014 00:00	10.98	11.02	10.97	10.97	8504	EUR	
16/07/2014 00:00	11	11.1	11	11.1	2272	EUR	
17/07/2014 00:00	11.04	11.08	11.02	11.02	238559	EUR	
18/07/2014 00:00	10.95	11.05	10.95	11.05	300	EUR	
21/07/2014 00:00	11.05	11.05	11.02	11.02	5121	EUR	
22/07/2014 00:00	11.11	11.26	11.11	11.26	4623	EUR	
23/07/2014 00:00	11.25	11.27	11.24	11.24	1135	EUR	
24/07/2014 00:00	11.24	11.28	11.24	11.28	0	EUR	
25/07/2014 00:00	11.24	11.28	11.24	11.26	440	EUR	
28/07/2014 00:00	11.59	11.59	11.31	11.32	2387	EUR	
29/07/2014 00:00	11.37	11.39	11.33	11.33	21660	EUR	
30/07/2014 00:00	11.34	11.37	11.31	11.31	1014	EUR	
31/07/2014 00:00	11.27	11.27	11.07	11.07	1145	EUR	
01/08/2014 00:00	11.08	11.1	11.01	11.06	7025	EUR	
04/08/2014 00:00	11.39	11.39	11.15	11.16	11261	EUR	
05/08/2014 00:00	11.13	11.22	11.13	11.13	1846	EUR	
06/08/2014 00:00	11.09	11.13	11.06	11.06	1000	EUR	
07/08/2014 00:00	11.01	11.05	11.01	11.02	999	EUR	
08/08/2014 00:00	10.99	11.01	10.97	11.01	3829	EUR	
11/08/2014 00:00	11.05	11.18	11.05	11.18	320	EUR	
12/08/2014 00:00	11.16	11.21	11.16	11.2	890	EUR	
13/08/2014 00:00	11.23	11.33	11.23	11.3	1116	EUR	
14/08/2014 00:00	11.6	11.6	11.25	11.28	570	EUR	
15/08/2014 00:00	11.6	11.64	11.26	11.26	2948	EUR	
18/08/2014 00:00	11.28	11.36	11.28	11.36	0	EUR	
19/08/2014 00:00	11.4	11.72	11.4	11.46	11806	EUR	
20/08/2014 00:00	11.46	11.5	11.45	11.49	3171	EUR	
21/08/2014 00:00	11.44	11.57	11.44	11.45	36851	EUR	
22/08/2014 00:00	11.51	11.51	11.44	11.45	19203	EUR	
25/08/2014 00:00	11.79	11.79	11.53	11.55	52254	EUR	
