date	ouv	haut	bas	clot	vol	devise	
28/05/2014 00:00	10.49	10.49	10.49	10.49	0	EUR	
29/05/2014 00:00	10.33	10.33	10.33	10.33	0	EUR	
30/05/2014 00:00	10.38	10.38	10.28	10.28	0	EUR	
02/06/2014 00:00	10.47	10.55	10.47	10.55	0	EUR	
03/06/2014 00:00	10.62	10.62	10.59	10.59	663	EUR	
04/06/2014 00:00	10.57	10.57	10.53	10.53	0	EUR	
05/06/2014 00:00	10.6	10.72	10.6	10.72	0	EUR	
06/06/2014 00:00	10.73	10.73	10.73	10.73	0	EUR	
11/06/2014 00:00	11.33	11.33	11	11	814	EUR	
12/06/2014 00:00	11	11.06	11	11.06	814	EUR	
13/06/2014 00:00	10.9	10.9	10.82	10.82	229	EUR	
16/06/2014 00:00	10.68	10.7	10.68	10.7	0	EUR	
17/06/2014 00:00	10.66	10.66	10.66	10.66	0	EUR	
18/06/2014 00:00	10.8	10.8	10.69	10.69	650	EUR	
19/06/2014 00:00	10.67	10.67	10.67	10.67	0	EUR	
20/06/2014 00:00	10.65	10.67	10.65	10.67	0	EUR	
23/06/2014 00:00	10.57	10.62	10.57	10.62	0	EUR	
24/06/2014 00:00	10.7	10.77	10.7	10.76	930	EUR	
25/06/2014 00:00	10.73	10.73	10.68	10.68	220	EUR	
26/06/2014 00:00	10.6	10.6	10.6	10.6	0	EUR	
27/06/2014 00:00	10.6	10.71	10.6	10.7	3335	EUR	
30/06/2014 00:00	10.75	10.78	10.75	10.75	1180	EUR	
01/07/2014 00:00	10.79	10.8	10.79	10.8	50	EUR	
02/07/2014 00:00	10.89	11.07	10.89	11.01	1210	EUR	
03/07/2014 00:00	11	11.08	11	11.03	2716	EUR	
04/07/2014 00:00	10.96	11.16	10.96	11.09	1001	EUR	
07/07/2014 00:00	11.1	11.19	11.1	11.17	915	EUR	
08/07/2014 00:00	11.18	11.18	10.91	10.91	3714	EUR	
09/07/2014 00:00	11.21	11.21	10.86	10.86	15878	EUR	
10/07/2014 00:00	10.86	10.86	10.74	10.74	184	EUR	
11/07/2014 00:00	10.7	10.7	10.65	10.65	1600	EUR	
14/07/2014 00:00	10.6	10.61	10.6	10.61	0	EUR	
15/07/2014 00:00	10.57	10.73	10.57	10.7	789	EUR	
16/07/2014 00:00	11.01	11.01	10.78	10.82	8997	EUR	
17/07/2014 00:00	10.85	10.92	10.85	10.85	1240	EUR	
18/07/2014 00:00	10.86	10.92	10.86	10.92	0	EUR	
21/07/2014 00:00	10.92	10.96	10.91	10.91	3790	EUR	
22/07/2014 00:00	11	11.2	11	11.15	1522	EUR	
23/07/2014 00:00	11.13	11.23	11.13	11.22	362	EUR	
