date	ouv	haut	bas	clot	vol	devise	
12/06/2014 00:00	10.33	10.33	10.29	10.29	0	EUR	
13/06/2014 00:00	10.16	10.16	10.1	10.1	0	EUR	
16/06/2014 00:00	10.18	10.18	10.1	10.1	0	EUR	
17/06/2014 00:00	10.18	10.18	10.13	10.13	0	EUR	
18/06/2014 00:00	10.07	10.07	10.07	10.07	0	EUR	
19/06/2014 00:00	10.08	10.08	10.08	10.08	0	EUR	
20/06/2014 00:00	9.93	9.93	9.93	9.93	0	EUR	
23/06/2014 00:00	10.03	10.03	10.02	10.02	0	EUR	
24/06/2014 00:00	10.16	10.18	10.16	10.18	0	EUR	
25/06/2014 00:00	10.06	10.06	10.06	10.06	0	EUR	
26/06/2014 00:00	10.15	10.15	10.15	10.15	0	EUR	
27/06/2014 00:00	10.13	10.16	10.13	10.16	0	EUR	
30/06/2014 00:00	10.21	10.22	10.15	10.15	17	EUR	
01/07/2014 00:00	10.18	10.18	10.18	10.18	0	EUR	
02/07/2014 00:00	10.27	10.27	10.25	10.25	0	EUR	
03/07/2014 00:00	10.23	10.27	10.23	10.27	0	EUR	
04/07/2014 00:00	10.24	10.29	10.24	10.29	0	EUR	
07/07/2014 00:00	10.26	10.26	10.16	10.16	3247	EUR	
08/07/2014 00:00	10.21	10.21	10.11	10.11	0	EUR	
09/07/2014 00:00	10.14	10.18	10.1	10.1	85	EUR	
10/07/2014 00:00	10.13	10.13	10.13	10.13	0	EUR	
11/07/2014 00:00	10	10.01	10	10.01	0	EUR	
14/07/2014 00:00	10.03	10.03	10.02	10.02	0	EUR	
15/07/2014 00:00	10.08	10.13	10.08	10.09	499	EUR	
16/07/2014 00:00	10.1	10.18	10.1	10.17	850	EUR	
17/07/2014 00:00	10.19	10.19	10.17	10.17	0	EUR	
18/07/2014 00:00	10.17	10.18	10.17	10.18	0	EUR	
21/07/2014 00:00	10.18	10.18	10.17	10.17	0	EUR	
22/07/2014 00:00	10.26	10.34	10.26	10.34	0	EUR	
23/07/2014 00:00	10.3	10.31	10.3	10.31	0	EUR	
24/07/2014 00:00	10.27	10.29	10.27	10.29	0	EUR	
25/07/2014 00:00	10.31	10.37	10.31	10.37	0	EUR	
28/07/2014 00:00	10.45	10.48	10.45	10.48	89	EUR	
29/07/2014 00:00	10.57	10.66	10.57	10.64	166	EUR	
30/07/2014 00:00	10.69	10.76	10.69	10.76	0	EUR	
31/07/2014 00:00	10.7	10.7	10.58	10.58	2000	EUR	
01/08/2014 00:00	10.45	10.45	10.45	10.45	0	EUR	
04/08/2014 00:00	10.49	10.49	10.48	10.48	0	EUR	
05/08/2014 00:00	10.46	10.52	10.46	10.52	0	EUR	
06/08/2014 00:00	10.41	10.42	10.41	10.42	0	EUR	
07/08/2014 00:00	10.31	10.41	10.31	10.34	150	EUR	
08/08/2014 00:00	10.18	10.2	10.18	10.2	0	EUR	
11/08/2014 00:00	10.28	10.39	10.28	10.36	85	EUR	
12/08/2014 00:00	10.34	10.39	10.34	10.39	0	EUR	
13/08/2014 00:00	10.42	10.47	10.42	10.47	0	EUR	
14/08/2014 00:00	10.49	10.5	10.49	10.5	0	EUR	
15/08/2014 00:00	10.59	10.59	10.55	10.55	400	EUR	
18/08/2014 00:00	10.41	10.5	10.41	10.5	0	EUR	
19/08/2014 00:00	10.55	10.6	10.55	10.6	0	EUR	
20/08/2014 00:00	10.55	10.56	10.55	10.56	0	EUR	
21/08/2014 00:00	10.45	10.45	10.42	10.42	571	EUR	
22/08/2014 00:00	10.48	10.57	10.48	10.56	1016	EUR	
25/08/2014 00:00	10.57	10.57	10.57	10.57	0	EUR	
26/08/2014 00:00	10.56	10.64	10.56	10.64	0	EUR	
27/08/2014 00:00	10.65	10.74	10.65	10.74	2600	EUR	
28/08/2014 00:00	10.63	10.73	10.55	10.65	115	EUR	
29/08/2014 00:00	10.75	10.75	10.68	10.68	835	EUR	
01/09/2014 00:00	10.77	10.77	10.67	10.67	100	EUR	
02/09/2014 00:00	10.58	10.58	10.57	10.57	355	EUR	
