date	ouv	haut	bas	clot	vol	devise	
03/06/2014 00:00	10.2	10.2	10.18	10.18	287	EUR	
04/06/2014 00:00	10.18	10.2	10.18	10.2	0	EUR	
05/06/2014 00:00	10.21	10.24	10.21	10.24	0	EUR	
06/06/2014 00:00	10.25	10.29	10.25	10.29	0	EUR	
09/06/2014 00:00	10.35	10.35	10.35	10.35	0	EUR	
10/06/2014 00:00	10.32	10.36	10.32	10.36	0	EUR	
11/06/2014 00:00	10.38	10.38	10.35	10.35	910	EUR	
12/06/2014 00:00	10.36	10.36	10.33	10.33	910	EUR	
13/06/2014 00:00	10.3	10.33	10.3	10.33	0	EUR	
16/06/2014 00:00	10.3	10.3	10.28	10.28	0	EUR	
17/06/2014 00:00	10.31	10.32	10.31	10.32	0	EUR	
18/06/2014 00:00	10.31	10.31	10.31	10.31	0	EUR	
19/06/2014 00:00	10.38	10.41	10.38	10.38	21564	EUR	
20/06/2014 00:00	10.39	10.43	10.39	10.43	0	EUR	
23/06/2014 00:00	10.45	10.45	10.41	10.41	2004	EUR	
24/06/2014 00:00	10.43	10.45	10.4	10.42	977	EUR	
25/06/2014 00:00	10.33	10.38	10.33	10.33	3209	EUR	
26/06/2014 00:00	10.37	10.41	10.37	10.38	524	EUR	
27/06/2014 00:00	10.35	10.37	10.34	10.34	1970	EUR	
30/06/2014 00:00	10.36	10.36	10.34	10.34	1572	EUR	
01/07/2014 00:00	10.41	10.41	10.4	10.4	3210	EUR	
02/07/2014 00:00	10.41	10.46	10.41	10.45	90	EUR	
03/07/2014 00:00	10.45	10.52	10.45	10.5	116	EUR	
04/07/2014 00:00	10.78	10.78	10.51	10.51	13444	EUR	
07/07/2014 00:00	10.54	10.54	10.48	10.48	4395	EUR	
08/07/2014 00:00	10.47	10.48	10.36	10.36	857	EUR	
09/07/2014 00:00	10.38	10.42	10.38	10.4	5374	EUR	
10/07/2014 00:00	10.39	10.4	10.3	10.33	4587	EUR	
11/07/2014 00:00	10.38	10.39	10.37	10.37	260	EUR	
14/07/2014 00:00	10.38	10.42	10.38	10.42	0	EUR	
15/07/2014 00:00	10.42	10.44	10.41	10.41	1541	EUR	
16/07/2014 00:00	10.44	10.55	10.44	10.53	1788	EUR	
17/07/2014 00:00	10.51	10.53	10.47	10.47	6095	EUR	
18/07/2014 00:00	10.43	10.46	10.43	10.45	2045	EUR	
21/07/2014 00:00	10.48	10.67	10.42	10.42	6071	EUR	
22/07/2014 00:00	10.46	10.57	10.46	10.54	5072	EUR	
23/07/2014 00:00	10.56	10.57	10.55	10.56	7847	EUR	
24/07/2014 00:00	10.56	10.59	10.55	10.58	2255	EUR	
25/07/2014 00:00	10.55	10.58	10.53	10.53	350	EUR	
28/07/2014 00:00	10.54	10.54	10.51	10.53	525	EUR	
29/07/2014 00:00	10.56	10.56	10.55	10.55	4127	EUR	
30/07/2014 00:00	10.55	10.55	10.54	10.54	145	EUR	
