date	ouv	haut	bas	clot	vol	devise	
05/06/2014 00:00	10.52	10.52	10.5	10.5	499	EUR	
06/06/2014 00:00	10.54	10.58	10.54	10.58	0	EUR	
09/06/2014 00:00	10.57	10.64	10.57	10.64	0	EUR	
10/06/2014 00:00	10.61	10.67	10.61	10.67	0	EUR	
11/06/2014 00:00	10.68	10.69	10.68	10.69	0	EUR	
12/06/2014 00:00	10.63	10.63	10.63	10.63	0	EUR	
13/06/2014 00:00	10.59	10.62	10.59	10.62	0	EUR	
16/06/2014 00:00	10.59	10.59	10.55	10.55	0	EUR	
17/06/2014 00:00	10.61	10.61	10.61	10.61	0	EUR	
18/06/2014 00:00	10.62	10.62	10.59	10.59	0	EUR	
19/06/2014 00:00	10.64	10.64	10.61	10.61	0	EUR	
20/06/2014 00:00	10.6	10.64	10.6	10.64	0	EUR	
23/06/2014 00:00	10.65	10.65	10.63	10.63	0	EUR	
24/06/2014 00:00	10.64	10.74	10.64	10.74	4819	EUR	
25/06/2014 00:00	10.62	10.64	10.6	10.64	43	EUR	
26/06/2014 00:00	10.67	10.67	10.67	10.67	0	EUR	
27/06/2014 00:00	10.68	10.69	10.68	10.69	950	EUR	
30/06/2014 00:00	10.71	10.73	10.71	10.71	260	EUR	
01/07/2014 00:00	10.74	10.83	10.74	10.83	828	EUR	
02/07/2014 00:00	10.86	10.87	10.86	10.87	1330	EUR	
03/07/2014 00:00	10.88	10.96	10.88	10.95	3309	EUR	
04/07/2014 00:00	10.99	11	10.97	10.97	3846	EUR	
07/07/2014 00:00	11	11	10.94	10.94	13308	EUR	
08/07/2014 00:00	10.97	10.97	10.79	10.79	3354	EUR	
09/07/2014 00:00	10.83	10.85	10.81	10.84	11568	EUR	
10/07/2014 00:00	10.87	10.87	10.76	10.85	1676	EUR	
11/07/2014 00:00	10.86	10.92	10.86	10.9	9594	EUR	
14/07/2014 00:00	10.96	10.99	10.93	10.99	3503	EUR	
15/07/2014 00:00	10.99	11.01	10.97	10.97	4030	EUR	
16/07/2014 00:00	11.02	11.12	11.02	11.06	4562	EUR	
17/07/2014 00:00	11.03	11.08	10.99	10.99	288460	EUR	
18/07/2014 00:00	10.94	11.03	10.94	11.03	4948	EUR	
21/07/2014 00:00	11.08	11.08	11.05	11.05	431	EUR	
22/07/2014 00:00	11.09	11.2	11.09	11.2	2110	EUR	
23/07/2014 00:00	11.21	11.27	11.21	11.27	876	EUR	
24/07/2014 00:00	11.28	11.3	11.28	11.28	765	EUR	
25/07/2014 00:00	11.22	11.25	11.2	11.2	1450	EUR	
28/07/2014 00:00	11.26	11.26	11.2	11.22	3984	EUR	
29/07/2014 00:00	11.25	11.26	11.23	11.25	4660	EUR	
30/07/2014 00:00	11.27	11.37	11.27	11.31	845	EUR	
31/07/2014 00:00	11.31	11.31	11.12	11.12	2418	EUR	
01/08/2014 00:00	11.1	11.1	10.99	10.99	1097	EUR	
