date	ouv	haut	bas	clot	vol	devise	
22/08/2022 00:00	117.16	117.16	115.5	115.5	0	EUR	
23/08/2022 00:00	114.96	115.06	114.96	115.06	0	EUR	
24/08/2022 00:00	114.82	115.76	114.82	115.76	0	EUR	
25/08/2022 00:00	115.76	115.76	115.76	115.76	0	EUR	
26/08/2022 00:00	116.22	116.22	113.3	113.3	0	EUR	
29/08/2022 00:00	112.26	112.26	112.26	112.26	0	EUR	
30/08/2022 00:00	112.34	112.34	112.34	112.34	0	EUR	
31/08/2022 00:00	112.94	112.94	111.14	111.14	0	EUR	
01/09/2022 00:00	109.46	109.46	109.46	109.46	0	EUR	
02/09/2022 00:00	112.06	112.06	112.06	112.06	0	EUR	
05/09/2022 00:00	110.1	110.1	110.1	110.1	0	EUR	
06/09/2022 00:00	110.8	110.8	110.8	110.8	0	EUR	
07/09/2022 00:00	109.84	110.92	109.84	110.92	0	EUR	
08/09/2022 00:00	111.36	111.36	111.36	111.36	0	EUR	
09/09/2022 00:00	111.68	113.24	111.68	113.24	0	EUR	
12/09/2022 00:00	113.84	115.46	113.84	115.46	0	EUR	
13/09/2022 00:00	116.04	116.04	113.34	113.34	0	EUR	
14/09/2022 00:00	112.5	112.5	112.5	112.5	0	EUR	
15/09/2022 00:00	111.94	111.94	111.94	111.94	0	EUR	
19/09/2022 00:00	110.26	110.26	110.26	110.26	0	EUR	
20/09/2022 00:00	109	109	109	109	0	EUR	
21/09/2022 00:00	107.8	109.64	107.8	109.64	0	EUR	
22/09/2022 00:00	107.32	107.32	107.32	107.32	0	EUR	
23/09/2022 00:00	104.84	104.84	104.84	104.84	0	EUR	
26/09/2022 00:00	104.9	104.9	104.9	104.9	0	EUR	
27/09/2022 00:00	105.78	105.78	104.52	104.52	0	EUR	
28/09/2022 00:00	104.58	104.58	104.58	104.58	0	EUR	
29/09/2022 00:00	103.7	103.7	102.48	102.48	0	EUR	
30/09/2022 00:00	103.04	104.14	103.04	104.14	0	EUR	
03/10/2022 00:00	102.62	104.68	102.62	104.68	0	EUR	
04/10/2022 00:00	109.26	109.26	109.26	109.26	0	EUR	
05/10/2022 00:00	107.36	107.36	107.36	107.36	0	EUR	
06/10/2022 00:00	106.94	106.94	106.94	106.94	0	EUR	
07/10/2022 00:00	104.78	104.78	104.78	104.78	0	EUR	
10/10/2022 00:00	104.02	104.52	104.02	104.52	0	EUR	
11/10/2022 00:00	104.08	104.08	104.08	104.08	0	EUR	
12/10/2022 00:00	103.76	103.76	103.48	103.48	0	EUR	
13/10/2022 00:00	102.62	104.2	102.62	104.2	0	EUR	
14/10/2022 00:00	105.94	105.94	104.86	104.86	0	EUR	
17/10/2022 00:00	106.98	106.98	106.98	106.98	0	EUR	
18/10/2022 00:00	108.08	108.08	107.84	107.84	0	EUR	
19/10/2022 00:00	108.32	108.32	108.32	108.32	0	EUR	
20/10/2022 00:00	107.26	108.28	107.22	108.28	7	EUR	
21/10/2022 00:00	106.98	107.48	106.98	107.48	0	EUR	
24/10/2022 00:00	108.78	108.9	108.78	108.9	7	EUR	
25/10/2022 00:00	109.7	109.7	109.7	109.7	0	EUR	
26/10/2022 00:00	110.56	111.72	110.56	111.72	0	EUR	
27/10/2022 00:00	111.1	111.32	111.1	111.32	0	EUR	
28/10/2022 00:00	110.2	111.1	110.2	111.1	0	EUR	
31/10/2022 00:00	111.1	111.1	111.04	111.04	0	EUR	
01/11/2022 00:00	111.78	111.78	111.78	111.78	0	EUR	
02/11/2022 00:00	112.08	112.08	110.88	110.88	0	EUR	
03/11/2022 00:00	109.58	109.58	109.54	109.54	0	EUR	
04/11/2022 00:00	110.38	112.66	110.38	112.66	0	EUR	
