date	ouv	haut	bas	clot	vol	devise	
31/01/2017 00:00	268.54	268.54	268.54	268.54	0	EUR	
02/02/2017 00:00	268.74	268.74	268.74	268.74	0	EUR	
03/02/2017 00:00	269.17	269.17	269.17	269.17	0	EUR	
06/02/2017 00:00	269.1	269.1	269.1	269.1	0	EUR	
07/02/2017 00:00	269.55	269.55	269.55	269.55	0	EUR	
08/02/2017 00:00	269.56	269.71	269.56	269.71	0	EUR	
09/02/2017 00:00	270.46	270.46	270.46	270.46	0	EUR	
10/02/2017 00:00	270.03	271.08	270.03	271.08	0	EUR	
13/02/2017 00:00	270.45	270.45	270.45	270.45	0	EUR	
14/02/2017 00:00	270.35	271.35	270.3	270.3	85	EUR	
15/02/2017 00:00	270.46	270.46	270.46	270.46	0	EUR	
16/02/2017 00:00	270.75	270.75	270.67	270.67	0	EUR	
17/02/2017 00:00	270.66	270.93	270.66	270.93	0	EUR	
20/02/2017 00:00	270.97	270.97	270.97	270.97	0	EUR	
21/02/2017 00:00	271.79	271.79	270.88	270.88	15	EUR	
22/02/2017 00:00	271.12	271.12	271.12	271.12	0	EUR	
23/02/2017 00:00	271.56	271.56	271.56	271.56	0	EUR	
24/02/2017 00:00	271.5	271.5	271.5	271.5	0	EUR	
27/02/2017 00:00	271.78	271.78	271.78	271.78	0	EUR	
28/02/2017 00:00	271.79	271.79	271.79	271.79	0	EUR	
01/03/2017 00:00	271.84	272.33	271.84	272.33	0	EUR	
02/03/2017 00:00	271.97	271.97	271.97	271.97	0	EUR	
03/03/2017 00:00	271.7	272.21	271.7	272.21	0	EUR	
06/03/2017 00:00	271.47	271.47	271.47	271.47	0	EUR	
07/03/2017 00:00	271.43	271.43	271.15	271.15	0	EUR	
08/03/2017 00:00	271.03	271.03	270.91	270.91	0	EUR	
09/03/2017 00:00	270.4	270.4	270.4	270.4	0	EUR	
10/03/2017 00:00	270.33	270.33	270.33	270.33	0	EUR	
13/03/2017 00:00	270.47	270.47	270.47	270.47	0	EUR	
14/03/2017 00:00	270.22	270.22	270.22	270.22	0	EUR	
15/03/2017 00:00	270.35	270.56	270.35	270.56	0	EUR	
16/03/2017 00:00	270.83	270.83	270.83	270.83	0	EUR	
17/03/2017 00:00	270.96	270.96	270.96	270.96	0	EUR	
20/03/2017 00:00	271.47	271.47	271.04	271.04	300	EUR	
21/03/2017 00:00	270.62	270.62	270.62	270.62	0	EUR	
22/03/2017 00:00	270.66	270.66	270.66	270.66	0	EUR	
23/03/2017 00:00	270.87	270.87	270.87	270.87	0	EUR	
24/03/2017 00:00	270.75	270.75	270.75	270.75	0	EUR	
27/03/2017 00:00	270.61	270.61	270.61	270.61	0	EUR	
28/03/2017 00:00	270.93	270.93	270.93	270.93	0	EUR	
29/03/2017 00:00	271.25	271.25	271.25	271.25	0	EUR	
30/03/2017 00:00	271.66	271.89	271.66	271.89	0	EUR	
31/03/2017 00:00	271.68	271.76	271.68	271.76	0	EUR	
03/04/2017 00:00	271.55	271.55	271.55	271.55	0	EUR	
04/04/2017 00:00	271.87	271.87	271.87	271.87	0	EUR	
05/04/2017 00:00	272.17	272.37	272.17	272.37	0	EUR	
06/04/2017 00:00	273.75	273.75	273.75	273.75	0	EUR	
07/04/2017 00:00	274.56	274.56	274.56	274.56	0	EUR	
10/04/2017 00:00	274.14	274.14	274.14	274.14	0	EUR	
12/04/2017 00:00	273.92	273.92	273.92	273.92	0	EUR	
13/04/2017 00:00	273.95	273.95	273.6	273.6	0	EUR	
18/04/2017 00:00	271.92	271.92	271.92	271.92	0	EUR	
19/04/2017 00:00	271.9	271.9	271.9	271.9	0	EUR	
20/04/2017 00:00	272.08	272.08	272.08	272.08	0	EUR	
21/04/2017 00:00	271.98	271.98	271.98	271.98	0	EUR	
24/04/2017 00:00	275.21	275.21	275.21	275.21	0	EUR	
25/04/2017 00:00	275.91	275.91	275.91	275.91	0	EUR	
26/04/2017 00:00	276.15	276.15	276.15	276.15	0	EUR	
27/04/2017 00:00	275.27	275.27	275.27	275.27	0	EUR	
28/04/2017 00:00	275.49	275.49	275.49	275.49	0	EUR	
02/05/2017 00:00	276.14	276.14	276.14	276.14	4	EUR	
03/05/2017 00:00	275.93	275.93	275.24	275.24	50	EUR	
04/05/2017 00:00	275.57	275.57	275.33	275.33	0	EUR	
05/05/2017 00:00	276.38	276.38	276.38	276.38	0	EUR	
08/05/2017 00:00	276.91	276.91	276.34	276.34	0	EUR	
09/05/2017 00:00	276.83	277.02	276.83	277.02	0	EUR	
10/05/2017 00:00	276.68	277.23	276.68	277.23	0	EUR	
11/05/2017 00:00	277.64	277.64	277.09	277.09	0	EUR	
12/05/2017 00:00	277.7	277.7	277.7	277.7	0	EUR	
15/05/2017 00:00	278.57	278.57	278.57	278.57	0	EUR	
16/05/2017 00:00	278.75	278.75	278.75	278.75	0	EUR	
17/05/2017 00:00	278	278	277.33	277.33	0	EUR	
18/05/2017 00:00	276.75	276.75	276.19	276.19	0	EUR	
19/05/2017 00:00	276.33	277.81	276.33	277.81	0	EUR	
22/05/2017 00:00	277.99	277.99	277.99	277.99	0	EUR	
23/05/2017 00:00	278.47	278.47	278.47	278.47	0	EUR	
24/05/2017 00:00	278.25	278.25	278.25	278.25	0	EUR	
26/05/2017 00:00	278.89	278.89	278.89	278.89	0	EUR	
29/05/2017 00:00	278.96	279.08	278.96	279.08	0	EUR	
30/05/2017 00:00	278.61	278.61	278.61	278.61	0	EUR	
31/05/2017 00:00	278.61	278.61	278.02	278.02	0	EUR	
01/06/2017 00:00	278.59	279.5	278.59	278.86	1467	EUR	
02/06/2017 00:00	279.51	279.62	279.51	279.62	0	EUR	
05/06/2017 00:00	279.24	279.24	279.24	279.24	0	EUR	
06/06/2017 00:00	279.04	279.13	279.04	279.13	0	EUR	
07/06/2017 00:00	278.88	279.13	278.88	279.13	0	EUR	
08/06/2017 00:00	279.1	279.1	279.1	279.1	0	EUR	
09/06/2017 00:00	279.76	280.6	279.76	280.47	73	EUR	
12/06/2017 00:00	279.14	279.14	279.14	279.14	0	EUR	
13/06/2017 00:00	279.45	279.45	278.97	278.97	0	EUR	
14/06/2017 00:00	279.85	279.85	279.85	279.85	0	EUR	
15/06/2017 00:00	279.17	279.17	279.17	279.17	0	EUR	
16/06/2017 00:00	280.08	280.08	279.22	279.22	51	EUR	
19/06/2017 00:00	280.42	280.42	280.41	280.41	0	EUR	
20/06/2017 00:00	280.66	280.66	279.52	279.52	0	EUR	
21/06/2017 00:00	278.97	278.97	278.94	278.94	0	EUR	
22/06/2017 00:00	279.28	279.29	279.28	279.29	268	EUR	
23/06/2017 00:00	279	279.11	279	279.11	0	EUR	
26/06/2017 00:00	280.1	280.1	280.1	280.1	0	EUR	
27/06/2017 00:00	279.79	280	279.05	279.05	3	EUR	
28/06/2017 00:00	278.32	278.32	278.32	278.32	0	EUR	
29/06/2017 00:00	276.04	276.04	276.04	276.04	0	EUR	
30/06/2017 00:00	275.55	275.55	275.55	275.55	0	EUR	
03/07/2017 00:00	276.23	277.1	276.23	277.03	18	EUR	
