date	ouv	haut	bas	clot	vol	devise	
12/02/2015 00:00	290.37	290.37	290.37	290.37	0	EUR	
13/02/2015 00:00	290.82	291.57	290.82	291.57	0	EUR	
16/02/2015 00:00	291.36	291.36	291.09	291.17	10	EUR	
17/02/2015 00:00	291.1	291.1	291.1	291.1	0	EUR	
18/02/2015 00:00	292.05	292.43	292.05	292.43	0	EUR	
19/02/2015 00:00	291.53	293	291.53	293	201	EUR	
20/02/2015 00:00	292.88	294.17	292.82	294.17	45	EUR	
23/02/2015 00:00	295.58	295.79	295.58	295.79	0	EUR	
24/02/2015 00:00	295.34	297.92	295.34	297.92	30	EUR	
25/02/2015 00:00	297.71	299.45	297.71	299.45	15	EUR	
26/02/2015 00:00	297.97	300.13	297.97	300.13	100	EUR	
27/02/2015 00:00	300.34	301.62	300.34	301.62	0	EUR	
02/03/2015 00:00	306.01	306.01	299.84	299.84	90	EUR	
03/03/2015 00:00	300.12	300.67	297.05	297.05	1330	EUR	
04/03/2015 00:00	297.2	297.89	297.2	297.89	0	EUR	
05/03/2015 00:00	298.38	300.57	298.38	300.57	0	EUR	
06/03/2015 00:00	300.24	300.84	299.18	299.18	680	EUR	
09/03/2015 00:00	297.1	298.62	297.1	298.62	10	EUR	
10/03/2015 00:00	298.67	298.67	295.14	295.14	1542	EUR	
11/03/2015 00:00	296.84	300.1	296.84	300.1	250	EUR	
12/03/2015 00:00	300.51	300.63	299.67	299.67	75	EUR	
13/03/2015 00:00	299.78	299.78	299.1	299.1	0	EUR	
16/03/2015 00:00	300.22	300.93	300.22	300.93	0	EUR	
17/03/2015 00:00	300.84	300.84	299.6	299.6	0	EUR	
18/03/2015 00:00	299.85	300.64	299.85	300.64	1	EUR	
19/03/2015 00:00	300.7	301.43	300.7	301.43	1330	EUR	
20/03/2015 00:00	301.83	304.31	301.83	304.31	0	EUR	
23/03/2015 00:00	303.87	303.87	303.38	303.38	0	EUR	
24/03/2015 00:00	302.02	303.99	302.02	303.99	0	EUR	
25/03/2015 00:00	303.22	303.22	302.15	302.15	0	EUR	
26/03/2015 00:00	300.61	300.61	300	300	0	EUR	
27/03/2015 00:00	301.11	301.11	299.73	299.73	0	EUR	
30/03/2015 00:00	301.6	301.6	301.6	301.6	0	EUR	
31/03/2015 00:00	301.82	301.82	299.34	299.34	0	EUR	
01/04/2015 00:00	297.71	300.01	297.71	300.01	0	EUR	
02/04/2015 00:00	299.66	299.66	298.85	298.85	0	EUR	
07/04/2015 00:00	300.99	304.13	300.99	304.13	0	EUR	
08/04/2015 00:00	304.39	304.39	303.25	303.25	0	EUR	
