date	ouv	haut	bas	clot	vol	devise	
07/11/2012 00:00	50.37	50.37	49.56	49.56	0	EUR	
08/11/2012 00:00	49.78	49.78	49.36	49.36	0	EUR	
09/11/2012 00:00	49.38	49.38	49.23	49.23	0	EUR	
12/11/2012 00:00	49.18	49.18	49.09	49.09	0	EUR	
13/11/2012 00:00	48.93	48.93	48.93	48.93	0	EUR	
14/11/2012 00:00	49.03	49.03	48.79	48.79	0	EUR	
15/11/2012 00:00	48.46	48.46	48.24	48.24	0	EUR	
16/11/2012 00:00	48.27	48.27	47.83	47.83	0	EUR	
19/11/2012 00:00	48.14	48.75	48.14	48.75	40	EUR	
20/11/2012 00:00	48.7	48.95	48.7	48.95	0	EUR	
21/11/2012 00:00	48.97	49.05	48.97	49.05	0	EUR	
22/11/2012 00:00	49.19	49.47	49.19	49.47	0	EUR	
23/11/2012 00:00	49.52	49.74	49.52	49.74	0	EUR	
26/11/2012 00:00	49.49	49.49	49.49	49.49	0	EUR	
27/11/2012 00:00	49.82	49.82	49.67	49.67	0	EUR	
28/11/2012 00:00	49.54	49.65	49.54	49.65	0	EUR	
29/11/2012 00:00	50.46	50.46	50.46	50.46	1000	EUR	
30/11/2012 00:00	50.28	50.28	50.28	50.28	0	EUR	
03/12/2012 00:00	50.43	50.43	50.32	50.32	159	EUR	
04/12/2012 00:00	50.27	50.32	50.27	50.28	50	EUR	
05/12/2012 00:00	50.53	50.53	50.5	50.5	0	EUR	
06/12/2012 00:00	50.84	50.89	50.84	50.89	85	EUR	
07/12/2012 00:00	50.89	50.98	50.89	50.98	0	EUR	
10/12/2012 00:00	50.69	50.97	50.69	50.92	1491	EUR	
11/12/2012 00:00	50.91	51.16	50.91	51.16	0	EUR	
12/12/2012 00:00	51.21	51.24	51.21	51.22	8	EUR	
13/12/2012 00:00	51.22	51.22	51.01	51.01	0	EUR	
14/12/2012 00:00	51.1	51.1	51.1	51.1	0	EUR	
17/12/2012 00:00	51.11	51.11	51.07	51.07	0	EUR	
18/12/2012 00:00	51.27	51.47	51.27	51.47	0	EUR	
19/12/2012 00:00	51.78	51.78	51.78	51.78	0	EUR	
20/12/2012 00:00	51.68	51.89	51.68	51.89	0	EUR	
21/12/2012 00:00	51.89	51.89	51.58	51.62	110	EUR	
24/12/2012 00:00	51.65	51.65	51.56	51.56	0	EUR	
27/12/2012 00:00	51.51	51.57	51.51	51.57	0	EUR	
28/12/2012 00:00	51.61	51.61	51.61	51.61	0	EUR	
31/12/2012 00:00	51.2	51.29	51.2	51.29	0	EUR	
02/01/2013 00:00	52.12	52.54	52.12	52.54	0	EUR	
03/01/2013 00:00	52.81	52.81	52.81	52.81	0	EUR	
04/01/2013 00:00	52.74	52.9	52.74	52.9	0	EUR	
07/01/2013 00:00	52.94	52.94	52.85	52.85	0	EUR	
08/01/2013 00:00	52.76	52.76	52.76	52.76	0	EUR	
09/01/2013 00:00	53.11	53.11	53.11	53.11	0	EUR	
10/01/2013 00:00	53.21	53.21	53.01	53.01	0	EUR	
11/01/2013 00:00	53.12	53.12	52.88	52.88	0	EUR	
14/01/2013 00:00	53.06	53.06	52.7	52.7	0	EUR	
15/01/2013 00:00	52.64	52.64	52.64	52.64	0	EUR	
16/01/2013 00:00	52.59	52.64	52.5	52.64	96	EUR	
17/01/2013 00:00	53	53	53	53	0	EUR	
18/01/2013 00:00	53.05	53.05	53.05	53.05	0	EUR	
21/01/2013 00:00	53.16	53.16	53.08	53.16	10	EUR	
22/01/2013 00:00	53.13	53.16	53.13	53.16	0	EUR	
23/01/2013 00:00	53.12	53.14	53.12	53.14	0	EUR	
24/01/2013 00:00	53.04	53.24	53.04	53.24	0	EUR	
25/01/2013 00:00	53.15	53.35	53.15	53.35	0	EUR	
28/01/2013 00:00	53.24	53.3	53.24	53.3	4	EUR	
29/01/2013 00:00	53.35	53.35	53.27	53.27	0	EUR	
30/01/2013 00:00	52.89	52.89	52.89	52.89	0	EUR	
31/01/2013 00:00	52.99	52.99	52.78	52.78	0	EUR	
01/02/2013 00:00	52.52	53.19	52.52	52.91	611	EUR	
04/02/2013 00:00	53.2	53.2	52.41	52.41	0	EUR	
05/02/2013 00:00	52.53	52.53	52.53	52.53	0	EUR	
06/02/2013 00:00	52.65	52.65	52.62	52.62	0	EUR	
07/02/2013 00:00	52.66	52.66	52.64	52.64	0	EUR	
08/02/2013 00:00	52.82	53.19	52.82	53.19	25	EUR	
11/02/2013 00:00	52.91	53.1	52.91	52.91	0	EUR	
12/02/2013 00:00	52.95	53.19	52.95	53.19	45	EUR	
13/02/2013 00:00	53.31	53.61	53.31	53.61	0	EUR	
14/02/2013 00:00	53.66	53.66	53.55	53.55	0	EUR	
15/02/2013 00:00	53.54	53.54	53.54	53.54	0	EUR	
18/02/2013 00:00	53.51	53.51	53.36	53.36	0	EUR	
19/02/2013 00:00	52.77	53.95	52.77	53.95	10	EUR	
20/02/2013 00:00	53.87	53.88	53.87	53.88	0	EUR	
21/02/2013 00:00	53.58	53.58	53.12	53.12	0	EUR	
22/02/2013 00:00	53.67	53.67	53.67	53.67	0	EUR	
25/02/2013 00:00	53.6	53.6	53.6	53.6	0	EUR	
26/02/2013 00:00	53.01	53.01	53.01	53.01	0	EUR	
27/02/2013 00:00	53.18	53.18	53.18	53.18	0	EUR	
28/02/2013 00:00	53.88	53.88	53.88	53.88	0	EUR	
04/03/2013 00:00	53.54	53.54	53.54	53.54	0	EUR	
05/03/2013 00:00	54.08	54.57	54.08	54.57	0	EUR	
06/03/2013 00:00	54.64	54.64	54.45	54.45	18	EUR	
07/03/2013 00:00	54.55	54.55	54.43	54.43	20	EUR	
08/03/2013 00:00	54.62	54.77	54.62	54.77	0	EUR	
11/03/2013 00:00	54.68	54.7	54.68	54.7	0	EUR	
12/03/2013 00:00	54.68	54.71	54.68	54.71	0	EUR	
13/03/2013 00:00	54.73	54.75	54.73	54.75	0	EUR	
14/03/2013 00:00	54.93	55.25	54.93	55.25	0	EUR	
15/03/2013 00:00	55.33	55.33	55.13	55.13	15	EUR	
18/03/2013 00:00	54.35	55.11	54.35	55.11	0	EUR	
19/03/2013 00:00	55.01	55.01	54.82	54.82	0	EUR	
20/03/2013 00:00	54.97	54.97	54.97	54.97	0	EUR	
21/03/2013 00:00	54.97	54.97	54.66	54.66	0	EUR	
22/03/2013 00:00	54.53	54.53	54.53	54.53	0	EUR	
25/03/2013 00:00	54.92	54.92	54.37	54.38	25	EUR	
26/03/2013 00:00	54.54	54.54	54.54	54.54	0	EUR	
27/03/2013 00:00	54.46	54.46	54.05	54.05	0	EUR	
28/03/2013 00:00	54.15	54.15	54.15	54.15	0	EUR	
02/04/2013 00:00	54.42	54.81	54.42	54.81	36	EUR	
03/04/2013 00:00	54.75	54.75	54.45	54.45	0	EUR	
04/04/2013 00:00	54.48	54.48	53.91	53.91	0	EUR	
05/04/2013 00:00	53.91	53.91	52.93	52.93	0	EUR	
08/04/2013 00:00	53.25	53.25	52.95	53.01	25	EUR	
09/04/2013 00:00	53.27	53.27	53.16	53.16	0	EUR	
10/04/2013 00:00	54.28	54.28	54.28	54.28	0	EUR	
11/04/2013 00:00	54.75	54.75	54.75	54.75	0	EUR	
12/04/2013 00:00	54.63	54.63	54.3	54.3	0	EUR	
15/04/2013 00:00	54.26	54.26	53.67	53.67	0	EUR	
16/04/2013 00:00	53.31	53.31	53.31	53.31	0	EUR	
17/04/2013 00:00	53.52	53.52	53.52	53.52	0	EUR	
18/04/2013 00:00	52.49	52.49	52.49	52.49	0	EUR	
19/04/2013 00:00	52.78	52.78	52.78	52.78	0	EUR	
22/04/2013 00:00	53.12	53.12	52.92	52.92	0	EUR	
23/04/2013 00:00	53.01	54.1	53.01	54.1	0	EUR	
24/04/2013 00:00	54.38	54.48	54.38	54.48	9500	EUR	
25/04/2013 00:00	54.61	55.05	54.52	55.05	5000	EUR	
26/04/2013 00:00	55.02	55.02	54.9	54.9	0	EUR	
29/04/2013 00:00	55.08	55.13	55	55.13	40	EUR	
30/04/2013 00:00	55.39	55.39	55	55	108	EUR	
02/05/2013 00:00	54.95	55.17	54.95	55.17	0	EUR	
03/05/2013 00:00	55.15	55.75	55.15	55.75	0	EUR	
06/05/2013 00:00	55.82	55.86	55.82	55.86	0	EUR	
07/05/2013 00:00	55.99	56.01	55.99	56.01	0	EUR	
08/05/2013 00:00	56.06	56.44	56.06	56.44	0	EUR	
09/05/2013 00:00	56.39	56.57	56.39	56.57	0	EUR	
10/05/2013 00:00	56.6	56.75	56.6	56.72	40	EUR	
13/05/2013 00:00	56.84	56.84	56.65	56.65	15	EUR	
14/05/2013 00:00	56.76	56.81	56.76	56.81	0	EUR	
15/05/2013 00:00	56.84	57.34	56.84	57.34	0	EUR	
