date	ouv	haut	bas	clot	vol	devise	
10/12/2014 00:00	27.37	27.37	27.19	27.19	0	EUR	
11/12/2014 00:00	27.23	27.23	27.22	27.22	0	EUR	
12/12/2014 00:00	27.05	27.05	26.69	26.69	0	EUR	
15/12/2014 00:00	26.21	26.21	26.21	26.21	0	EUR	
16/12/2014 00:00	26.28	26.57	26.28	26.57	0	EUR	
17/12/2014 00:00	26.37	26.56	26.37	26.56	0	EUR	
18/12/2014 00:00	27.25	27.25	27.25	27.25	0	EUR	
19/12/2014 00:00	27.41	27.41	27.34	27.34	0	EUR	
22/12/2014 00:00	27.4	27.51	27.4	27.51	0	EUR	
23/12/2014 00:00	27.56	27.73	27.56	27.73	0	EUR	
24/12/2014 00:00	27.77	27.77	27.77	27.77	0	EUR	
29/12/2014 00:00	27.67	27.67	27.67	27.67	0	EUR	
30/12/2014 00:00	27.55	27.55	27.37	27.37	0	EUR	
31/12/2014 00:00	27.43	27.44	27.43	27.44	0	EUR	
02/01/2015 00:00	27.62	27.62	27.46	27.46	0	EUR	
05/01/2015 00:00	27.37	27.37	27.03	27.03	0	EUR	
06/01/2015 00:00	27.07	27.07	26.91	26.91	0	EUR	
07/01/2015 00:00	27.02	27.08	27.02	27.08	0	EUR	
08/01/2015 00:00	27.33	27.68	27.33	27.68	0	EUR	
09/01/2015 00:00	27.49	27.49	27.49	27.49	0	EUR	
12/01/2015 00:00	27.58	27.7	27.58	27.7	0	EUR	
13/01/2015 00:00	27.74	28.04	27.74	28.04	0	EUR	
14/01/2015 00:00	27.86	27.86	27.86	27.86	0	EUR	
15/01/2015 00:00	28.05	28.29	28.05	28.29	0	EUR	
16/01/2015 00:00	28.2	28.54	28.2	28.54	0	EUR	
19/01/2015 00:00	28.58	28.75	28.58	28.75	0	EUR	
20/01/2015 00:00	28.79	28.84	28.79	28.84	0	EUR	
21/01/2015 00:00	28.85	29	28.85	28.85	0	EUR	
22/01/2015 00:00	29	29.31	29	29.31	0	EUR	
23/01/2015 00:00	29.43	29.85	29.43	29.85	0	EUR	
26/01/2015 00:00	29.81	30.2	29.81	30.2	0	EUR	
27/01/2015 00:00	30.23	30.23	30	30	0	EUR	
28/01/2015 00:00	30.12	30.12	30.1	30.1	0	EUR	
29/01/2015 00:00	29.96	30.19	29.96	30.19	0	EUR	
30/01/2015 00:00	30.09	30.09	30.09	30.09	0	EUR	
02/02/2015 00:00	30.09	30.09	30.04	30.04	0	EUR	
03/02/2015 00:00	30.11	30.15	30.11	30.15	0	EUR	
04/02/2015 00:00	30.18	30.32	30.18	30.32	0	EUR	
05/02/2015 00:00	30.19	30.45	30.19	30.45	0	EUR	
06/02/2015 00:00	30.34	30.34	30.29	30.29	0	EUR	
09/02/2015 00:00	30.08	30.08	29.93	29.93	0	EUR	
10/02/2015 00:00	29.96	30.2	29.96	30.2	0	EUR	
11/02/2015 00:00	30.22	30.22	30.18	30.18	0	EUR	
12/02/2015 00:00	30.17	30.42	30.17	30.42	0	EUR	
13/02/2015 00:00	30.49	30.49	30.48	30.48	0	EUR	
16/02/2015 00:00	30.44	30.44	30.28	30.28	0	EUR	
17/02/2015 00:00	30.2	30.34	30.2	30.34	0	EUR	
18/02/2015 00:00	30.41	30.51	30.41	30.51	0	EUR	
19/02/2015 00:00	30.47	30.75	30.47	30.75	0	EUR	
20/02/2015 00:00	30.64	30.68	30.64	30.68	0	EUR	
23/02/2015 00:00	31.01	31.01	31.01	31.01	0	EUR	
24/02/2015 00:00	31.05	31.13	31.05	31.13	0	EUR	
25/02/2015 00:00	31.21	31.21	31.17	31.17	0	EUR	
26/02/2015 00:00	31.15	31.37	31.15	31.37	0	EUR	
27/02/2015 00:00	31.36	31.47	31.36	31.47	0	EUR	
02/03/2015 00:00	31.5	31.51	31.5	31.51	0	EUR	
