date	ouv	haut	bas	clot	vol	devise	
09/12/2014 00:00	37.93	37.93	37.93	37.93	5000	EUR	
10/12/2014 00:00	37.78	37.78	37.38	37.38	0	EUR	
11/12/2014 00:00	37.39	37.44	37.39	37.44	0	EUR	
12/12/2014 00:00	37.14	37.14	36.45	36.45	0	EUR	
15/12/2014 00:00	35.53	35.53	35.53	35.53	0	EUR	
16/12/2014 00:00	35.7	36.32	35.7	36.32	0	EUR	
17/12/2014 00:00	35.91	36.27	35.91	36.27	0	EUR	
18/12/2014 00:00	37.42	37.42	37.42	37.42	0	EUR	
19/12/2014 00:00	37.69	37.69	37.33	37.33	0	EUR	
22/12/2014 00:00	37.54	37.56	37.54	37.56	0	EUR	
23/12/2014 00:00	37.63	37.98	37.63	37.98	0	EUR	
24/12/2014 00:00	37.94	37.94	37.94	37.94	0	EUR	
29/12/2014 00:00	37.88	37.88	37.88	37.88	0	EUR	
30/12/2014 00:00	37.58	37.58	37.34	37.34	0	EUR	
31/12/2014 00:00	37.46	37.46	37.43	37.43	0	EUR	
02/01/2015 00:00	37.74	37.74	37.44	37.44	0	EUR	
05/01/2015 00:00	37.19	37.19	36.28	36.28	0	EUR	
06/01/2015 00:00	36.37	36.37	36.08	36.08	270	EUR	
07/01/2015 00:00	36.26	36.27	36.26	36.27	0	EUR	
08/01/2015 00:00	36.74	37.44	36.74	37.44	230	EUR	
09/01/2015 00:00	37.2	37.2	36.63	36.63	0	EUR	
12/01/2015 00:00	36.81	37	36.81	37	0	EUR	
13/01/2015 00:00	36.93	37.57	36.93	37.57	0	EUR	
14/01/2015 00:00	37.09	37.13	37.09	37.13	0	EUR	
15/01/2015 00:00	37.56	37.87	37.56	37.87	0	EUR	
16/01/2015 00:00	37.75	38.32	37.75	38.32	0	EUR	
19/01/2015 00:00	38.41	38.64	38.41	38.64	0	EUR	
20/01/2015 00:00	38.79	38.88	38.79	38.88	200	EUR	
21/01/2015 00:00	39	39	39	39.19	0	EUR	
22/01/2015 00:00	39.21	39.79	39.21	39.79	0	EUR	
23/01/2015 00:00	40.1	40.47	40.1	40.47	0	EUR	
26/01/2015 00:00	40.29	40.86	40.29	40.86	0	EUR	
27/01/2015 00:00	40.88	40.88	40.41	40.41	0	EUR	
28/01/2015 00:00	40.7	40.7	40.37	40.37	250	EUR	
29/01/2015 00:00	40.19	40.54	40.19	40.54	0	EUR	
30/01/2015 00:00	40.74	40.74	40.34	40.34	0	EUR	
02/02/2015 00:00	40.37	40.46	40.37	40.46	0	EUR	
03/02/2015 00:00	40.7	40.92	40.7	40.92	0	EUR	
04/02/2015 00:00	40.97	41	40.97	41	0	EUR	
05/02/2015 00:00	40.69	41.03	40.69	41.03	0	EUR	
06/02/2015 00:00	40.86	40.89	40.86	40.89	0	EUR	
09/02/2015 00:00	40.49	40.49	40.33	40.33	0	EUR	
10/02/2015 00:00	40.4	40.76	40.4	40.76	0	EUR	
11/02/2015 00:00	40.75	40.75	40.68	40.68	0	EUR	
12/02/2015 00:00	40.71	41.22	40.71	41.22	0	EUR	
13/02/2015 00:00	41.41	41.51	41.41	41.51	0	EUR	
16/02/2015 00:00	41.47	41.47	41.38	41.38	0	EUR	
17/02/2015 00:00	41.14	41.41	40.99	41.41	250	EUR	
18/02/2015 00:00	41.58	41.76	41.58	41.76	0	EUR	
19/02/2015 00:00	41.85	42.04	41.8	42.04	218	EUR	
20/02/2015 00:00	41.91	42.08	41.91	42.08	0	EUR	
23/02/2015 00:00	42.47	42.47	42.42	42.42	0	EUR	
24/02/2015 00:00	42.51	42.68	42.51	42.68	0	EUR	
25/02/2015 00:00	42.69	42.69	42.57	42.57	0	EUR	
26/02/2015 00:00	42.55	42.97	42.55	42.97	0	EUR	
27/02/2015 00:00	43.02	43.2	43.02	43.2	0	EUR	
02/03/2015 00:00	43.25	43.25	43.17	43.17	0	EUR	
03/03/2015 00:00	43.24	43.24	42.7	42.7	0	EUR	
04/03/2015 00:00	42.85	43.02	42.85	43.02	0	EUR	
05/03/2015 00:00	43.15	43.47	43.15	43.47	0	EUR	
06/03/2015 00:00	43.47	43.54	43.47	43.54	0	EUR	
09/03/2015 00:00	43.25	43.43	43.25	43.43	0	EUR	
10/03/2015 00:00	43.44	43.44	43.01	43.01	0	EUR	
11/03/2015 00:00	43.19	43.95	43.19	43.95	0	EUR	
12/03/2015 00:00	44.09	44.09	43.92	43.92	50	EUR	
13/03/2015 00:00	44.05	44.12	44.05	44.12	0	EUR	
16/03/2015 00:00	44.32	44.7	44.32	44.7	235	EUR	
17/03/2015 00:00	44.75	44.75	44.25	44.25	0	EUR	
18/03/2015 00:00	44.31	44.31	44.18	44.18	0	EUR	
19/03/2015 00:00	44.28	44.28	44.25	44.25	0	EUR	
20/03/2015 00:00	44.41	44.8	44.41	44.8	0	EUR	
23/03/2015 00:00	44.64	44.64	44.53	44.53	0	EUR	
24/03/2015 00:00	44.36	44.88	44.36	44.88	0	EUR	
25/03/2015 00:00	44.77	44.77	44.37	44.37	0	EUR	
26/03/2015 00:00	43.97	44.16	43.97	44.16	0	EUR	
27/03/2015 00:00	44.36	44.36	44.27	44.27	0	EUR	
30/03/2015 00:00	44.53	44.89	44.53	44.89	0	EUR	
31/03/2015 00:00	44.81	44.81	44.52	44.52	0	EUR	
01/04/2015 00:00	44.26	44.7	44.26	44.7	0	EUR	
02/04/2015 00:00	44.72	44.81	44.72	44.81	0	EUR	
07/04/2015 00:00	44.99	45.42	44.99	45.42	0	EUR	
08/04/2015 00:00	45.37	45.37	45.2	45.2	0	EUR	
09/04/2015 00:00	45.43	45.7	45.43	45.7	0	EUR	
10/04/2015 00:00	45.86	46.12	45.86	46.12	0	EUR	
13/04/2015 00:00	46.08	46.22	46.08	46.22	100	EUR	
14/04/2015 00:00	46.16	46.16	45.87	45.87	0	EUR	
15/04/2015 00:00	45.94	46.02	45.94	46.02	0	EUR	
16/04/2015 00:00	45.89	45.89	45.48	45.48	0	EUR	
17/04/2015 00:00	45.33	45.33	44.57	44.57	95	EUR	
20/04/2015 00:00	44.72	45.02	44.72	45.02	0	EUR	
21/04/2015 00:00	45.3	45.3	45.19	45.19	0	EUR	
22/04/2015 00:00	45.43	45.43	45.14	45.14	200	EUR	
23/04/2015 00:00	45.28	45.28	44.71	44.86	25	EUR	
24/04/2015 00:00	45.17	45.34	45.11	45.11	200	EUR	
27/04/2015 00:00	45.36	45.75	45.36	45.75	200	EUR	
28/04/2015 00:00	45.71	45.71	45.05	45.05	22	EUR	
29/04/2015 00:00	45.26	45.26	43.84	43.84	0	EUR	
30/04/2015 00:00	43.88	43.95	43.88	43.9	25	EUR	
04/05/2015 00:00	43.99	44.22	43.99	44.22	0	EUR	
