date	ouv	haut	bas	clot	vol	devise	
10/12/2014 00:00	18.86	18.86	18.66	18.66	0	EUR	
11/12/2014 00:00	18.7	18.7	18.68	18.68	0	EUR	
12/12/2014 00:00	18.54	18.54	18.3	18.3	55	EUR	
15/12/2014 00:00	17.87	17.87	17.87	17.87	0	EUR	
16/12/2014 00:00	17.92	18.22	17.92	18.22	0	EUR	
17/12/2014 00:00	18.02	18.2	18.02	18.2	0	EUR	
18/12/2014 00:00	18.47	18.76	18.47	18.76	0	EUR	
19/12/2014 00:00	18.88	18.88	18.78	18.78	0	EUR	
22/12/2014 00:00	18.85	18.9	18.85	18.9	0	EUR	
23/12/2014 00:00	18.92	19.09	18.92	19.09	0	EUR	
24/12/2014 00:00	19.07	19.07	19.07	19.07	0	EUR	
29/12/2014 00:00	19.02	19.02	19.02	19.02	0	EUR	
30/12/2014 00:00	18.92	18.92	18.82	18.82	0	EUR	
31/12/2014 00:00	18.87	18.87	18.85	18.85	0	EUR	
02/01/2015 00:00	18.98	18.98	18.89	18.89	1	EUR	
05/01/2015 00:00	18.81	18.81	18.43	18.43	0	EUR	
06/01/2015 00:00	18.47	18.47	18.34	18.34	0	EUR	
07/01/2015 00:00	18.39	18.42	18.39	18.42	0	EUR	
08/01/2015 00:00	18.61	18.92	18.61	18.92	0	EUR	
09/01/2015 00:00	18.71	18.71	18.71	18.71	0	EUR	
12/01/2015 00:00	18.81	18.89	18.81	18.89	0	EUR	
13/01/2015 00:00	18.9	19.16	18.9	19.16	0	EUR	
14/01/2015 00:00	18.99	19.03	18.99	19.03	0	EUR	
15/01/2015 00:00	19.3	19.4	19.3	19.4	110	EUR	
16/01/2015 00:00	19.33	19.57	19.33	19.57	0	EUR	
19/01/2015 00:00	19.61	19.73	19.61	19.73	0	EUR	
20/01/2015 00:00	19.86	19.86	19.76	19.76	300	EUR	
21/01/2015 00:00	19.78	19.78	19.75	19.92	30	EUR	
22/01/2015 00:00	19.94	20.19	19.94	20.19	75	EUR	
23/01/2015 00:00	20.39	20.58	20.39	20.48	400	EUR	
26/01/2015 00:00	20.41	20.73	20.41	20.73	0	EUR	
27/01/2015 00:00	20.77	20.77	20.52	20.52	1100	EUR	
28/01/2015 00:00	20.6	20.6	20.54	20.54	0	EUR	
29/01/2015 00:00	20.43	20.58	20.43	20.57	48	EUR	
30/01/2015 00:00	20.62	20.62	20.51	20.51	0	EUR	
02/02/2015 00:00	20.52	20.52	20.49	20.51	12195	EUR	
03/02/2015 00:00	20.59	20.7	20.59	20.7	0	EUR	
04/02/2015 00:00	20.76	20.76	20.7	20.75	250	EUR	
05/02/2015 00:00	20.6	20.86	20.6	20.86	3758	EUR	
06/02/2015 00:00	20.76	20.84	20.75	20.79	351	EUR	
09/02/2015 00:00	20.64	20.64	20.51	20.59	86	EUR	
10/02/2015 00:00	20.62	20.76	20.62	20.76	0	EUR	
11/02/2015 00:00	20.76	20.76	20.69	20.69	0	EUR	
12/02/2015 00:00	20.69	20.92	20.69	20.9	72	EUR	
13/02/2015 00:00	20.96	21.02	20.96	21.02	0	EUR	
16/02/2015 00:00	21.04	21.04	20.89	20.89	4500	EUR	
17/02/2015 00:00	20.79	20.92	20.79	20.92	0	EUR	
18/02/2015 00:00	21	21.12	21	21.11	250	EUR	
19/02/2015 00:00	21.06	21.23	21.06	21.23	0	EUR	
20/02/2015 00:00	21.19	21.22	21.19	21.22	0	EUR	
23/02/2015 00:00	21.37	21.37	21.37	21.37	0	EUR	
24/02/2015 00:00	21.39	21.53	21.39	21.48	273475	EUR	
25/02/2015 00:00	21.5	21.78	21.49	21.51	16566	EUR	
26/02/2015 00:00	21.52	21.64	21.52	21.63	4600	EUR	
27/02/2015 00:00	21.66	21.7	21.6	21.7	321	EUR	
02/03/2015 00:00	21.7	21.76	21.66	21.66	1649	EUR	
03/03/2015 00:00	21.72	21.81	21.54	21.54	1122	EUR	
04/03/2015 00:00	21.52	21.52	21.37	21.48	9092	EUR	
05/03/2015 00:00	21.59	21.8	21.59	21.79	3680	EUR	
06/03/2015 00:00	21.82	21.89	21.82	21.83	2502	EUR	
09/03/2015 00:00	21.73	21.82	21.67	21.82	676	EUR	
10/03/2015 00:00	21.85	21.85	21.63	21.63	2025	EUR	
11/03/2015 00:00	21.7	21.93	21.7	21.93	1393	EUR	
12/03/2015 00:00	22.03	22.03	21.95	21.98	48379	EUR	
13/03/2015 00:00	22.01	22.06	21.96	22.06	4430	EUR	
16/03/2015 00:00	22.14	22.37	22.14	22.35	1198	EUR	
17/03/2015 00:00	22.37	22.37	22.13	22.17	2804	EUR	
18/03/2015 00:00	22.2	22.34	22.14	22.22	7004	EUR	
19/03/2015 00:00	22.36	22.36	22.24	22.24	1861	EUR	
20/03/2015 00:00	22.34	22.47	22.34	22.47	1979	EUR	
23/03/2015 00:00	22.44	22.44	22.2	22.29	858	EUR	
24/03/2015 00:00	22.26	22.45	22.26	22.45	1301	EUR	
25/03/2015 00:00	22.37	22.43	22.23	22.23	1609	EUR	
26/03/2015 00:00	22.06	22.06	21.78	22.03	829	EUR	
27/03/2015 00:00	22.08	22.1	22.06	22.06	400	EUR	
30/03/2015 00:00	22.14	22.31	22.14	22.31	1897	EUR	
31/03/2015 00:00	22.29	22.38	22.12	22.12	3425	EUR	
01/04/2015 00:00	22.03	22.42	22.03	22.2	988	EUR	
02/04/2015 00:00	22.18	22.3	22.18	22.3	2142	EUR	
07/04/2015 00:00	22.51	22.66	22.5	22.66	2764	EUR	
08/04/2015 00:00	22.64	22.71	22.62	22.66	1438	EUR	
09/04/2015 00:00	22.75	22.91	22.75	22.91	451	EUR	
10/04/2015 00:00	22.95	23.13	22.95	23.13	614	EUR	
13/04/2015 00:00	23.1	23.16	23.1	23.12	890	EUR	
14/04/2015 00:00	23.1	23.16	23	23	1303	EUR	
15/04/2015 00:00	23.03	23.18	23.01	23.09	1906	EUR	
16/04/2015 00:00	23	23	22.84	22.84	643	EUR	
17/04/2015 00:00	22.77	22.8	22.44	22.44	1543	EUR	
20/04/2015 00:00	22.47	22.53	22.47	22.53	257	EUR	
21/04/2015 00:00	22.67	22.81	22.67	22.7	1573	EUR	
22/04/2015 00:00	22.73	22.73	22.46	22.52	1899	EUR	
23/04/2015 00:00	22.58	22.58	22.25	22.41	358	EUR	
24/04/2015 00:00	22.47	22.49	22.34	22.42	615	EUR	
27/04/2015 00:00	22.59	22.66	22.28	22.66	19004	EUR	
28/04/2015 00:00	22.62	22.62	22.3	22.36	4705	EUR	
29/04/2015 00:00	22.44	22.44	21.81	21.81	22696	EUR	
30/04/2015 00:00	21.81	21.84	21.63	21.82	3292	EUR	
