date	ouv	haut	bas	clot	vol	devise	
29/01/2016 00:00	30	30	30	30	0	EUR	
01/02/2016 00:00	30.13	30.13	29.94	29.94	0	EUR	
02/02/2016 00:00	29.84	29.84	29.26	29.26	0	EUR	
03/02/2016 00:00	29.13	29.13	28.71	28.71	0	EUR	
04/02/2016 00:00	29.02	29.02	28.83	28.83	0	EUR	
05/02/2016 00:00	28.82	28.82	28.57	28.57	0	EUR	
08/02/2016 00:00	28.57	28.57	27.63	27.63	0	EUR	
09/02/2016 00:00	27.14	27.14	27.14	27.14	0	EUR	
10/02/2016 00:00	27.29	27.63	27.29	27.63	0	EUR	
11/02/2016 00:00	27.22	27.22	26.6	26.6	0	EUR	
12/02/2016 00:00	26.94	27.31	26.94	27.31	0	EUR	
15/02/2016 00:00	27.89	28.1	27.89	28.1	0	EUR	
16/02/2016 00:00	28.26	28.26	27.97	27.97	0	EUR	
17/02/2016 00:00	27.99	28.71	27.99	28.71	0	EUR	
18/02/2016 00:00	28.9	28.9	28.69	28.69	0	EUR	
19/02/2016 00:00	28.62	28.62	28.46	28.46	0	EUR	
22/02/2016 00:00	28.83	29.06	28.83	29.06	0	EUR	
23/02/2016 00:00	28.87	28.87	28.64	28.64	0	EUR	
24/02/2016 00:00	28.58	28.58	27.93	27.93	0	EUR	
25/02/2016 00:00	28.32	28.51	28.32	28.51	0	EUR	
26/02/2016 00:00	29	29	29	29	0	EUR	
29/02/2016 00:00	28.68	29.18	28.68	29.18	0	EUR	
01/03/2016 00:00	29.11	29.69	29.11	29.69	0	EUR	
02/03/2016 00:00	29.88	29.97	29.88	29.97	0	EUR	
03/03/2016 00:00	29.96	29.96	29.86	29.86	0	EUR	
04/03/2016 00:00	29.98	30.1	29.98	30.1	0	EUR	
07/03/2016 00:00	29.92	29.93	29.92	29.93	0	EUR	
08/03/2016 00:00	29.6	29.77	29.6	29.77	0	EUR	
09/03/2016 00:00	29.8	29.8	29.8	29.8	0	EUR	
10/03/2016 00:00	29.87	29.87	29.46	29.46	0	EUR	
11/03/2016 00:00	29.96	30.46	29.96	30.46	0	EUR	
14/03/2016 00:00	30.72	30.72	30.65	30.65	0	EUR	
15/03/2016 00:00	30.5	30.5	30.41	30.41	0	EUR	
16/03/2016 00:00	30.49	30.49	30.37	30.37	0	EUR	
17/03/2016 00:00	30.63	30.63	30.15	30.15	0	EUR	
18/03/2016 00:00	30.18	30.33	30.18	30.33	0	EUR	
21/03/2016 00:00	30.1	30.24	30.1	30.24	0	EUR	
22/03/2016 00:00	30.01	30.25	30.01	30.25	0	EUR	
23/03/2016 00:00	30.42	30.42	30.2	30.2	0	EUR	
24/03/2016 00:00	29.91	29.91	29.65	29.65	0	EUR	
29/03/2016 00:00	29.9	29.9	29.8	29.8	0	EUR	
30/03/2016 00:00	30.05	30.18	30.05	30.18	0	EUR	
31/03/2016 00:00	29.99	29.99	29.83	29.83	0	EUR	
01/04/2016 00:00	29.31	29.31	29.31	29.31	0	EUR	
04/04/2016 00:00	29.12	29.37	29.12	29.37	0	EUR	
05/04/2016 00:00	28.95	28.95	28.7	28.7	0	EUR	
06/04/2016 00:00	28.66	28.89	28.66	28.89	0	EUR	
07/04/2016 00:00	28.89	28.89	28.54	28.54	0	EUR	
08/04/2016 00:00	28.7	28.92	28.7	28.92	0	EUR	
11/04/2016 00:00	28.85	29.08	28.85	29.08	0	EUR	
12/04/2016 00:00	29.11	29.24	29.11	29.24	0	EUR	
13/04/2016 00:00	29.67	30.19	29.67	30.19	0	EUR	
14/04/2016 00:00	30.21	30.43	30.21	30.43	0	EUR	
15/04/2016 00:00	30.34	30.37	30.34	30.37	0	EUR	
18/04/2016 00:00	29.94	30.48	29.94	30.48	0	EUR	
19/04/2016 00:00	30.61	30.94	30.61	30.94	0	EUR	
20/04/2016 00:00	30.9	31.24	30.9	31.24	0	EUR	
21/04/2016 00:00	31.38	31.38	31.36	31.36	0	EUR	
22/04/2016 00:00	31.32	31.32	31.23	31.23	0	EUR	
25/04/2016 00:00	31.27	31.27	31.01	31.01	0	EUR	
26/04/2016 00:00	31.2	31.2	31.06	31.06	0	EUR	
27/04/2016 00:00	31.14	31.15	31.14	31.15	0	EUR	
28/04/2016 00:00	30.92	31.14	30.92	31.14	0	EUR	
29/04/2016 00:00	30.85	30.85	30.23	30.23	0	EUR	
02/05/2016 00:00	30.44	30.44	30.35	30.35	0	EUR	
03/05/2016 00:00	30.22	30.22	29.77	29.77	0	EUR	
04/05/2016 00:00	29.73	29.73	29.39	29.39	0	EUR	
05/05/2016 00:00	29.49	29.49	29.46	29.46	0	EUR	
06/05/2016 00:00	29.24	29.51	29.24	29.51	0	EUR	
09/05/2016 00:00	29.67	29.67	29.66	29.66	0	EUR	
10/05/2016 00:00	29.91	29.96	29.91	29.96	0	EUR	
11/05/2016 00:00	29.86	29.86	29.76	29.76	0	EUR	
12/05/2016 00:00	29.57	29.57	29.55	29.55	0	EUR	
13/05/2016 00:00	29.3	29.78	29.3	29.78	0	EUR	
16/05/2016 00:00	29.51	29.75	29.51	29.75	0	EUR	
17/05/2016 00:00	30.04	30.04	29.65	29.65	0	EUR	
18/05/2016 00:00	29.48	29.82	29.48	29.82	0	EUR	
19/05/2016 00:00	29.63	29.63	29.46	29.46	0	EUR	
20/05/2016 00:00	29.81	29.89	29.81	29.89	0	EUR	
23/05/2016 00:00	29.8	29.8	29.7	29.7	0	EUR	
24/05/2016 00:00	29.59	30.49	29.59	30.49	0	EUR	
25/05/2016 00:00	30.69	30.98	30.69	30.98	0	EUR	
26/05/2016 00:00	30.97	31.11	30.97	31.11	0	EUR	
27/05/2016 00:00	31.04	31.21	31.04	31.21	0	EUR	
30/05/2016 00:00	31.2	31.33	31.2	31.33	0	EUR	
31/05/2016 00:00	31.33	31.33	31.04	31.04	0	EUR	
01/06/2016 00:00	30.98	30.98	30.78	30.78	0	EUR	
02/06/2016 00:00	30.79	30.81	30.79	30.81	0	EUR	
03/06/2016 00:00	30.45	30.45	30.45	30.45	0	EUR	
06/06/2016 00:00	30.51	30.56	30.51	30.56	0	EUR	
07/06/2016 00:00	30.73	30.94	30.73	30.94	0	EUR	
08/06/2016 00:00	30.78	30.78	30.71	30.71	0	EUR	
09/06/2016 00:00	30.58	30.58	30.43	30.43	0	EUR	
10/06/2016 00:00	30.2	30.2	29.63	29.63	0	EUR	
13/06/2016 00:00	29.34	29.34	29.05	29.05	0	EUR	
14/06/2016 00:00	28.8	28.8	28.46	28.46	0	EUR	
15/06/2016 00:00	28.7	28.81	28.7	28.81	0	EUR	
16/06/2016 00:00	28.47	28.69	28.47	28.69	0	EUR	
17/06/2016 00:00	28.94	28.99	28.94	28.99	0	EUR	
20/06/2016 00:00	29.75	29.98	29.75	29.98	0	EUR	
21/06/2016 00:00	29.92	30.24	29.92	30.24	0	EUR	
22/06/2016 00:00	30.43	30.43	30.32	30.32	0	EUR	
23/06/2016 00:00	30.52	30.94	30.52	30.94	0	EUR	
24/06/2016 00:00	28.24	28.24	28.24	28.24	0	EUR	
27/06/2016 00:00	28.18	28.18	27.51	27.51	0	EUR	
28/06/2016 00:00	28.09	28.12	28.09	28.12	0	EUR	
29/06/2016 00:00	28.55	28.87	28.55	28.87	0	EUR	
30/06/2016 00:00	28.68	29.2	28.68	29.2	0	EUR	
01/07/2016 00:00	29.43	29.43	29.36	29.36	0	EUR	
04/07/2016 00:00	29.45	29.45	29.19	29.19	0	EUR	
05/07/2016 00:00	29.01	29.01	28.69	28.69	0	EUR	
