date	ouv	haut	bas	clot	vol	devise	
27/01/2016 00:00	73.46	74.14	73.46	74.14	0	EUR	
28/01/2016 00:00	73.14	73.14	73.14	73.14	0	EUR	
29/01/2016 00:00	73.16	73.99	73.16	73.99	0	EUR	
01/02/2016 00:00	73.83	73.83	73.83	73.83	0	EUR	
02/02/2016 00:00	72.65	72.65	72.65	72.65	0	EUR	
03/02/2016 00:00	72.46	72.46	71.42	71.42	0	EUR	
04/02/2016 00:00	71.42	71.42	71.42	71.42	0	EUR	
05/02/2016 00:00	71.47	71.47	70.79	70.79	0	EUR	
08/02/2016 00:00	70.8	70.8	68.48	68.48	0	EUR	
09/02/2016 00:00	67.49	67.49	67.49	67.49	0	EUR	
10/02/2016 00:00	68.54	68.54	68.54	68.54	0	EUR	
11/02/2016 00:00	66.15	66.15	66.15	66.15	0	EUR	
12/02/2016 00:00	66.84	67.32	66.84	67.32	0	EUR	
15/02/2016 00:00	69.2	69.2	69.2	69.2	0	EUR	
16/02/2016 00:00	69.12	69.12	69.12	69.12	0	EUR	
17/02/2016 00:00	69.41	71	69.41	71	0	EUR	
18/02/2016 00:00	71.32	71.32	71.12	71.12	0	EUR	
19/02/2016 00:00	71.05	71.05	70.88	70.88	0	EUR	
22/02/2016 00:00	71.69	72.08	71.69	72.08	0	EUR	
23/02/2016 00:00	71.62	71.62	71.37	71.37	0	EUR	
24/02/2016 00:00	71.3	71.3	69.93	69.93	0	EUR	
25/02/2016 00:00	70.98	71.32	70.98	71.32	0	EUR	
26/02/2016 00:00	72.41	72.41	72.26	72.26	0	EUR	
29/02/2016 00:00	72.81	72.81	72.81	72.81	0	EUR	
01/03/2016 00:00	72.6	74	72.6	74	0	EUR	
02/03/2016 00:00	74.41	74.41	74.03	74.03	0	EUR	
03/03/2016 00:00	74.05	74.05	73.81	73.81	0	EUR	
04/03/2016 00:00	74.13	74.28	74.13	74.28	0	EUR	
07/03/2016 00:00	74.01	74.02	74.01	74.02	0	EUR	
08/03/2016 00:00	73.31	73.56	73.31	73.56	0	EUR	
09/03/2016 00:00	73.6	73.89	73.6	73.89	0	EUR	
10/03/2016 00:00	73.83	73.83	72.91	72.91	0	EUR	
11/03/2016 00:00	74.92	74.92	74.92	74.92	0	EUR	
14/03/2016 00:00	75.51	75.54	75.51	75.54	0	EUR	
15/03/2016 00:00	75.19	75.2	75.19	75.2	0	EUR	
16/03/2016 00:00	75.37	75.37	75.16	75.16	0	EUR	
17/03/2016 00:00	75.62	75.62	75.04	75.04	0	EUR	
18/03/2016 00:00	74.99	75.19	74.99	75.19	0	EUR	
21/03/2016 00:00	75.03	75.03	75.03	75.03	0	EUR	
22/03/2016 00:00	74.51	75.04	74.51	75.04	0	EUR	
23/03/2016 00:00	75.35	75.35	75.16	75.16	0	EUR	
24/03/2016 00:00	74.06	74.06	74.06	74.06	0	EUR	
29/03/2016 00:00	74.51	74.51	74.51	74.51	0	EUR	
30/03/2016 00:00	75.45	75.45	75.45	75.45	0	EUR	
31/03/2016 00:00	74.63	74.63	74.63	74.63	0	EUR	
01/04/2016 00:00	73.49	73.49	73.49	73.49	0	EUR	
04/04/2016 00:00	73.79	73.79	73.79	73.79	0	EUR	
05/04/2016 00:00	72.56	72.56	72.56	72.56	0	EUR	
06/04/2016 00:00	72.97	72.97	72.97	72.97	0	EUR	
07/04/2016 00:00	72.93	72.93	72.41	72.41	0	EUR	
08/04/2016 00:00	73.14	73.14	73.14	73.14	0	EUR	
11/04/2016 00:00	73.36	73.36	73.36	73.36	0	EUR	
12/04/2016 00:00	73.35	73.88	73.35	73.88	0	EUR	
13/04/2016 00:00	74.69	75.75	74.69	75.75	0	EUR	
14/04/2016 00:00	75.98	75.98	75.98	75.98	0	EUR	
15/04/2016 00:00	75.65	75.65	75.65	75.65	0	EUR	
18/04/2016 00:00	74.9	75.87	74.9	75.87	0	EUR	
19/04/2016 00:00	77.1	77.1	77.1	77.1	0	EUR	
20/04/2016 00:00	77.1	77.56	77.1	77.56	0	EUR	
21/04/2016 00:00	77.35	77.35	77.35	77.35	0	EUR	
22/04/2016 00:00	77.28	77.28	77.28	77.28	0	EUR	
25/04/2016 00:00	77.28	77.28	76.85	76.85	0	EUR	
26/04/2016 00:00	77	77	77	77	0	EUR	
27/04/2016 00:00	77.17	77.29	77.17	77.29	0	EUR	
28/04/2016 00:00	77.12	77.12	77.12	77.12	0	EUR	
29/04/2016 00:00	76.34	76.34	75.28	75.28	0	EUR	
02/05/2016 00:00	75.86	75.86	75.86	75.86	0	EUR	
03/05/2016 00:00	75.49	75.49	74.63	74.63	0	EUR	
04/05/2016 00:00	74.12	74.12	74.12	74.12	0	EUR	
05/05/2016 00:00	74.34	74.34	74.34	74.34	0	EUR	
06/05/2016 00:00	74.24	74.24	74.24	74.24	0	EUR	
09/05/2016 00:00	74.77	74.89	74.77	74.89	0	EUR	
10/05/2016 00:00	75.37	75.37	75.3	75.3	0	EUR	
11/05/2016 00:00	74.9	74.9	74.66	74.66	0	EUR	
12/05/2016 00:00	74.32	74.32	74.32	74.32	0	EUR	
13/05/2016 00:00	73.73	74.67	73.73	74.67	0	EUR	
16/05/2016 00:00	74.68	74.68	74.68	74.68	0	EUR	
17/05/2016 00:00	74.63	74.63	74.63	74.63	0	EUR	
18/05/2016 00:00	75.17	75.17	75.17	75.17	0	EUR	
19/05/2016 00:00	74.85	74.85	74.73	74.73	0	EUR	
20/05/2016 00:00	75.75	75.75	75.75	75.75	0	EUR	
23/05/2016 00:00	75.54	75.54	75.54	75.54	0	EUR	
24/05/2016 00:00	77.3	77.3	77.3	77.3	0	EUR	
25/05/2016 00:00	77.74	78.11	77.74	78.11	0	EUR	
26/05/2016 00:00	78.09	78.53	78.09	78.53	0	EUR	
27/05/2016 00:00	78.86	78.86	78.86	78.86	0	EUR	
30/05/2016 00:00	79	79	79	79	0	EUR	
31/05/2016 00:00	79.1	79.1	78.62	78.62	0	EUR	
01/06/2016 00:00	78.29	78.29	78.29	78.29	0	EUR	
02/06/2016 00:00	78.5	78.5	78.22	78.22	100	EUR	
03/06/2016 00:00	77.7	77.7	77.7	77.7	0	EUR	
06/06/2016 00:00	77.78	78.12	77.78	77.79	1	EUR	
07/06/2016 00:00	78.44	78.44	78.44	78.44	0	EUR	
08/06/2016 00:00	78.2	78.2	78	78.03	32	EUR	
09/06/2016 00:00	77.68	77.68	77.3	77.3	0	EUR	
10/06/2016 00:00	75.46	75.46	75.46	75.46	0	EUR	
13/06/2016 00:00	74.45	74.45	73.89	73.89	275	EUR	
14/06/2016 00:00	72.63	72.63	72.63	72.63	0	EUR	
15/06/2016 00:00	73.15	73.19	73.15	73.19	0	EUR	
16/06/2016 00:00	73.02	73.02	73.02	73.02	0	EUR	
17/06/2016 00:00	73.46	73.65	73.46	73.65	0	EUR	
20/06/2016 00:00	76.2	76.2	76.14	76.14	13	EUR	
21/06/2016 00:00	76.81	76.81	76.81	76.81	0	EUR	
24/06/2016 00:00	73.05	73.05	73.05	73.05	680	EUR	
27/06/2016 00:00	70.87	70.87	70.87	70.87	0	EUR	
28/06/2016 00:00	72.59	72.59	72.35	72.35	1	EUR	
29/06/2016 00:00	74.18	74.18	74.18	74.18	0	EUR	
01/07/2016 00:00	76	76	75.56	75.56	6	EUR	
04/07/2016 00:00	75.13	75.13	75.13	75.13	0	EUR	
05/07/2016 00:00	74.69	74.69	74.69	74.69	230	EUR	
06/07/2016 00:00	73	73	73	73	0	EUR	
07/07/2016 00:00	73.3	73.3	73.3	73.3	0	EUR	
08/07/2016 00:00	74.56	74.56	74.56	74.56	0	EUR	
11/07/2016 00:00	75.79	75.79	75.79	75.79	0	EUR	
12/07/2016 00:00	76.55	76.55	76.55	76.55	0	EUR	
13/07/2016 00:00	76.52	76.52	76.52	76.52	0	EUR	
14/07/2016 00:00	77.04	77.04	77.04	77.04	0	EUR	
15/07/2016 00:00	77	77.29	77	77.14	2133	EUR	
18/07/2016 00:00	76.89	76.89	76.89	76.89	0	EUR	
20/07/2016 00:00	77.72	77.72	77.72	77.72	0	EUR	
21/07/2016 00:00	77.76	77.76	77.76	77.76	0	EUR	
25/07/2016 00:00	78.2	78.2	78.2	78.2	0	EUR	
26/07/2016 00:00	77.8	78.25	77.8	77.94	370	EUR	
27/07/2016 00:00	78.44	78.44	78.44	78.44	0	EUR	
28/07/2016 00:00	78.21	78.21	78.21	78.21	0	EUR	
01/08/2016 00:00	76.7	76.88	76.7	76.88	48	EUR	
02/08/2016 00:00	75.38	75.38	75.38	75.38	0	EUR	
03/08/2016 00:00	75.23	75.23	75.23	75.23	0	EUR	
04/08/2016 00:00	75.77	75.77	75.77	75.77	0	EUR	
05/08/2016 00:00	76.54	76.54	76.54	76.54	0	EUR	
08/08/2016 00:00	76.75	76.75	76.75	76.75	0	EUR	
09/08/2016 00:00	77.7	77.95	77.7	77.95	7	EUR	
10/08/2016 00:00	78.36	78.36	77.96	77.96	13	EUR	
11/08/2016 00:00	78.89	78.89	78.89	78.89	0	EUR	
12/08/2016 00:00	79.09	79.17	78.78	78.78	1050	EUR	
15/08/2016 00:00	79.62	79.62	78.87	78.87	15	EUR	
16/08/2016 00:00	78.43	78.43	78.2	78.2	0	EUR	
17/08/2016 00:00	77.47	77.47	77.47	77.47	0	EUR	
18/08/2016 00:00	78.2	78.2	77.98	77.98	19	EUR	
19/08/2016 00:00	77.52	77.52	77.52	77.52	0	EUR	
22/08/2016 00:00	77.85	77.85	77.23	77.23	200	EUR	
23/08/2016 00:00	77.99	77.99	77.99	77.99	0	EUR	
24/08/2016 00:00	78.13	78.13	78.13	78.13	0	EUR	
25/08/2016 00:00	77.77	77.77	77.77	77.77	0	EUR	
26/08/2016 00:00	78.05	78.05	78.05	78.05	0	EUR	
29/08/2016 00:00	78.01	78.05	77.93	77.93	273	EUR	
30/08/2016 00:00	78.59	78.59	78.59	78.59	0	EUR	
31/08/2016 00:00	78.91	78.91	78.41	78.41	3	EUR	
01/09/2016 00:00	79.24	79.28	78.26	78.26	156	EUR	
02/09/2016 00:00	79.87	79.87	79.87	79.87	0	EUR	
05/09/2016 00:00	80.44	80.44	79.87	79.87	117	EUR	
06/09/2016 00:00	79.44	79.44	79.44	79.44	0	EUR	
07/09/2016 00:00	80.01	80.01	80.01	80.01	0	EUR	
08/09/2016 00:00	80.17	80.17	79.33	79.33	1018	EUR	
09/09/2016 00:00	78.35	78.35	78.35	78.35	0	EUR	
12/09/2016 00:00	78.3	78.3	77.4	77.7	90	EUR	
13/09/2016 00:00	76.88	76.88	76.88	76.88	0	EUR	
14/09/2016 00:00	77.17	77.17	77.17	77.17	0	EUR	
15/09/2016 00:00	77.5	77.5	77.32	77.32	28	EUR	
16/09/2016 00:00	77.3	77.3	76.55	76.55	125	EUR	
19/09/2016 00:00	77.49	77.49	77.49	77.49	0	EUR	
20/09/2016 00:00	78.2	78.2	78.2	78.2	0	EUR	
21/09/2016 00:00	78.5	78.5	78.4	78.46	4808	EUR	
22/09/2016 00:00	79.68	79.73	79.68	79.73	63	EUR	
23/09/2016 00:00	79.85	79.85	79.49	79.49	25	EUR	
26/09/2016 00:00	79	79	78.21	78.21	10	EUR	
27/09/2016 00:00	78.74	78.74	78.18	78.18	12	EUR	
28/09/2016 00:00	79.63	79.63	78.7	78.7	4	EUR	
29/09/2016 00:00	78.45	78.45	78.45	78.45	0	EUR	
30/09/2016 00:00	78.83	78.83	78.83	78.83	64	EUR	
03/10/2016 00:00	78.56	78.56	78.56	78.56	0	EUR	
04/10/2016 00:00	79.58	79.61	79.38	79.38	17	EUR	
05/10/2016 00:00	79.72	79.72	78.87	78.92	120	EUR	
06/10/2016 00:00	79.35	79.35	78.86	78.86	90	EUR	
07/10/2016 00:00	78.68	78.68	78.15	78.15	6	EUR	
10/10/2016 00:00	79.62	79.62	79.15	79.15	2625	EUR	
11/10/2016 00:00	78.95	78.95	78.67	78.67	620	EUR	
12/10/2016 00:00	78.51	78.51	78.51	78.51	0	EUR	
13/10/2016 00:00	78.55	78.55	77.76	77.76	95	EUR	
14/10/2016 00:00	78.76	78.76	78.76	78.76	0	EUR	
17/10/2016 00:00	78.76	78.76	78.32	78.32	170	EUR	
18/10/2016 00:00	78.73	78.73	78.73	78.73	0	EUR	
19/10/2016 00:00	79.29	79.56	79.29	79.56	0	EUR	
20/10/2016 00:00	80.55	80.55	79.68	79.68	102	EUR	
21/10/2016 00:00	79.99	79.99	79.73	79.86	74	EUR	
24/10/2016 00:00	80.12	80.12	79.51	80.01	353	EUR	
25/10/2016 00:00	80.07	80.07	79.58	79.99	56	EUR	
26/10/2016 00:00	79.02	79.17	79	79.17	887	EUR	
27/10/2016 00:00	79.06	79.45	79.06	79.45	0	EUR	
28/10/2016 00:00	78.69	79.27	78.69	79.27	2	EUR	
31/10/2016 00:00	79.86	79.86	78.94	78.94	35	EUR	
01/11/2016 00:00	79.37	79.37	78.11	78.11	0	EUR	
02/11/2016 00:00	77.85	77.85	77.03	77.62	44	EUR	
