date	ouv	haut	bas	clot	vol	devise	
05/06/2014 00:00	10.4	10.4	10.39	10.4	1795	EUR	
06/06/2014 00:00	10.41	10.45	10.41	10.45	0	EUR	
09/06/2014 00:00	10.43	10.52	10.43	10.52	0	EUR	
10/06/2014 00:00	10.49	10.54	10.49	10.53	2205	EUR	
11/06/2014 00:00	10.54	10.54	10.52	10.52	0	EUR	
12/06/2014 00:00	10.47	10.47	10.47	10.47	0	EUR	
13/06/2014 00:00	10.43	10.46	10.43	10.46	660	EUR	
16/06/2014 00:00	10.44	10.44	10.42	10.42	0	EUR	
17/06/2014 00:00	10.46	10.48	10.46	10.48	0	EUR	
18/06/2014 00:00	10.5	10.51	10.48	10.48	279	EUR	
19/06/2014 00:00	10.52	10.52	10.51	10.51	0	EUR	
20/06/2014 00:00	10.52	10.58	10.52	10.58	0	EUR	
23/06/2014 00:00	10.58	10.58	10.55	10.55	0	EUR	
24/06/2014 00:00	10.55	10.6	10.54	10.6	180	EUR	
25/06/2014 00:00	10.5	10.5	10.5	10.5	0	EUR	
26/06/2014 00:00	10.51	10.51	10.51	10.51	0	EUR	
27/06/2014 00:00	10.49	10.52	10.49	10.51	820	EUR	
30/06/2014 00:00	10.52	10.52	10.5	10.5	0	EUR	
01/07/2014 00:00	10.51	10.57	10.51	10.57	0	EUR	
02/07/2014 00:00	10.61	10.61	10.6	10.6	500	EUR	
03/07/2014 00:00	10.65	10.68	10.61	10.68	889	EUR	
04/07/2014 00:00	10.7	10.71	10.68	10.68	195	EUR	
07/07/2014 00:00	10.69	10.7	10.65	10.65	300	EUR	
08/07/2014 00:00	10.66	10.66	10.56	10.56	1029	EUR	
09/07/2014 00:00	10.59	10.61	10.58	10.58	851	EUR	
10/07/2014 00:00	10.61	10.61	10.57	10.58	1710	EUR	
11/07/2014 00:00	10.6	10.6	10.59	10.59	18	EUR	
14/07/2014 00:00	10.62	10.65	10.62	10.65	1080	EUR	
15/07/2014 00:00	10.65	10.65	10.65	10.65	0	EUR	
16/07/2014 00:00	10.68	10.76	10.68	10.71	2963	EUR	
17/07/2014 00:00	10.7	10.75	10.68	10.7	81476	EUR	
18/07/2014 00:00	10.63	10.69	10.63	10.69	846	EUR	
21/07/2014 00:00	10.72	10.72	10.67	10.68	830	EUR	
22/07/2014 00:00	10.7	10.8	10.7	10.8	547	EUR	
23/07/2014 00:00	10.79	10.86	10.79	10.82	2191	EUR	
24/07/2014 00:00	10.84	10.86	10.84	10.84	2725	EUR	
25/07/2014 00:00	10.82	10.85	10.79	10.79	6660	EUR	
28/07/2014 00:00	10.81	10.81	10.76	10.78	4507	EUR	
29/07/2014 00:00	10.81	10.82	10.79	10.79	7470	EUR	
