date	ouv	haut	bas	clot	vol	devise	
16/10/2014 00:00	22.83	22.83	22.51	22.51	0	EUR	
17/10/2014 00:00	22.6	23.19	22.6	23.19	11050	EUR	
20/10/2014 00:00	23.11	23.11	23.06	23.06	0	EUR	
21/10/2014 00:00	23.02	23.54	23.02	23.54	5000	EUR	
22/10/2014 00:00	23.75	23.75	23.75	23.75	0	EUR	
23/10/2014 00:00	23.6	23.96	23.6	23.96	0	EUR	
24/10/2014 00:00	23.85	23.88	23.85	23.88	0	EUR	
27/10/2014 00:00	24.09	24.09	23.7	23.7	0	EUR	
28/10/2014 00:00	23.87	23.98	23.87	23.98	0	EUR	
29/10/2014 00:00	24.09	24.09	23.97	23.97	160	EUR	
30/10/2014 00:00	24.13	24.13	24.13	24.13	0	EUR	
31/10/2014 00:00	24.44	24.56	24.44	24.56	0	EUR	
03/11/2014 00:00	24.35	24.35	24.35	24.35	0	EUR	
04/11/2014 00:00	24.33	24.33	24.09	24.09	0	EUR	
05/11/2014 00:00	24.49	24.49	24.49	24.49	0	EUR	
06/11/2014 00:00	24.41	24.55	24.41	24.55	0	EUR	
07/11/2014 00:00	24.63	24.63	24.24	24.36	5000	EUR	
10/11/2014 00:00	24.33	24.55	24.33	24.55	0	EUR	
11/11/2014 00:00	24.6	24.64	24.6	24.64	0	EUR	
12/11/2014 00:00	24.58	24.58	24.33	24.33	0	EUR	
13/11/2014 00:00	24.45	24.55	24.43	24.43	1000	EUR	
14/11/2014 00:00	24.52	24.52	24.46	24.46	0	EUR	
17/11/2014 00:00	24.57	24.57	24.57	24.57	0	EUR	
18/11/2014 00:00	24.6	24.82	24.6	24.81	43	EUR	
19/11/2014 00:00	24.82	24.82	24.82	24.82	0	EUR	
20/11/2014 00:00	24.79	24.79	24.73	24.73	5000	EUR	
21/11/2014 00:00	24.8	25.26	24.8	25.26	0	EUR	
24/11/2014 00:00	25.26	25.35	25.26	25.35	0	EUR	
25/11/2014 00:00	25.37	25.44	25.37	25.44	0	EUR	
26/11/2014 00:00	25.5	25.5	25.41	25.41	0	EUR	
27/11/2014 00:00	25.47	25.54	25.47	25.54	0	EUR	
28/11/2014 00:00	25.55	25.57	25.48	25.57	36	EUR	
01/12/2014 00:00	25.42	25.45	25.42	25.45	270	EUR	
02/12/2014 00:00	25.52	25.52	25.48	25.48	0	EUR	
03/12/2014 00:00	25.55	25.6	25.55	25.6	0	EUR	
04/12/2014 00:00	25.67	25.68	25.29	25.29	119	EUR	
05/12/2014 00:00	25.58	25.8	25.58	25.8	5	EUR	
08/12/2014 00:00	25.71	25.71	25.63	25.63	0	EUR	
09/12/2014 00:00	25.41	25.41	25.07	25.07	0	EUR	
10/12/2014 00:00	25.24	25.26	24.99	24.99	1848	EUR	
11/12/2014 00:00	25	25.03	25	25.03	0	EUR	
12/12/2014 00:00	24.86	24.86	24.44	24.44	0	EUR	
15/12/2014 00:00	24.41	24.46	23.85	23.85	10820	EUR	
16/12/2014 00:00	23.95	24.25	23.55	24.25	10000	EUR	
17/12/2014 00:00	23.98	24.21	23.98	24.21	1000	EUR	
18/12/2014 00:00	24.54	24.93	24.54	24.93	0	EUR	
19/12/2014 00:00	25.06	25.06	24.66	24.87	15000	EUR	
22/12/2014 00:00	25.05	25.05	25	25	5000	EUR	
23/12/2014 00:00	25.05	25.19	25.05	25.19	0	EUR	
24/12/2014 00:00	25.17	25.17	25.17	25.17	0	EUR	
29/12/2014 00:00	25.14	25.14	25.14	25.14	0	EUR	
30/12/2014 00:00	25.01	25.01	24.85	24.85	0	EUR	
31/12/2014 00:00	24.96	24.96	24.96	24.96	0	EUR	
02/01/2015 00:00	24.77	24.9	24.77	24.9	5000	EUR	
05/01/2015 00:00	24.82	24.82	24.31	24.31	0	EUR	
06/01/2015 00:00	24.34	24.34	24.2	24.2	0	EUR	
07/01/2015 00:00	24.34	24.34	24.34	24.34	0	EUR	
08/01/2015 00:00	24.61	25.04	24.61	25.04	0	EUR	
09/01/2015 00:00	24.93	24.93	24.63	24.65	10000	EUR	
12/01/2015 00:00	24.84	24.84	24.67	24.84	5051	EUR	
13/01/2015 00:00	25.21	25.21	25.21	25.21	0	EUR	
14/01/2015 00:00	24.95	24.95	24.91	24.91	0	EUR	
15/01/2015 00:00	25.17	25.63	25.17	25.63	0	EUR	
16/01/2015 00:00	25.54	25.82	25.54	25.82	0	EUR	
19/01/2015 00:00	25.94	25.94	25.94	25.94	0	EUR	
20/01/2015 00:00	26.09	26.12	26.09	26.12	0	EUR	
21/01/2015 00:00	26.18	26.24	26.01	26.24	8394	EUR	
22/01/2015 00:00	26.25	26.58	26.25	26.58	86	EUR	
23/01/2015 00:00	26.78	27.04	26.78	27.04	0	EUR	
26/01/2015 00:00	26.96	27.21	26.96	27.21	0	EUR	
27/01/2015 00:00	27.25	27.25	26.98	26.98	2723	EUR	
28/01/2015 00:00	27.17	27.17	26.95	26.95	1987	EUR	
29/01/2015 00:00	26.87	27.01	26.87	27.01	0	EUR	
30/01/2015 00:00	27.12	27.12	26.92	26.92	1206	EUR	
02/02/2015 00:00	26.91	26.98	26.88	26.98	570	EUR	
03/02/2015 00:00	27.07	27.32	27.07	27.15	7950	EUR	
04/02/2015 00:00	27.22	27.26	27.15	27.26	370	EUR	
05/02/2015 00:00	27.14	27.25	27.08	27.25	5735	EUR	
06/02/2015 00:00	27.15	27.25	27.15	27.25	0	EUR	
09/02/2015 00:00	27.03	27.06	27	27	450	EUR	
10/02/2015 00:00	27.03	27.24	27.03	27.24	14700	EUR	
11/02/2015 00:00	27.22	27.22	27.13	27.13	0	EUR	
12/02/2015 00:00	27.15	27.39	27.15	27.39	3300	EUR	
13/02/2015 00:00	27.46	27.65	27.46	27.55	171	EUR	
16/02/2015 00:00	27.68	27.68	27.54	27.54	200	EUR	
17/02/2015 00:00	27.35	27.56	27.35	27.56	7823	EUR	
18/02/2015 00:00	27.76	27.76	27.76	27.76	0	EUR	
19/02/2015 00:00	27.71	27.91	27.71	27.91	2170	EUR	
20/02/2015 00:00	27.87	28	27.83	28	7360	EUR	
23/02/2015 00:00	28.33	28.33	28.22	28.22	2000	EUR	
24/02/2015 00:00	28.23	28.34	28.23	28.34	0	EUR	
25/02/2015 00:00	28.35	28.35	28.33	28.33	3155	EUR	
26/02/2015 00:00	28.33	28.61	28.33	28.61	152	EUR	
27/02/2015 00:00	28.7	28.77	28.66	28.77	1633	EUR	
02/03/2015 00:00	28.78	28.79	28.73	28.73	1905	EUR	
03/03/2015 00:00	28.79	28.79	28.42	28.42	20775	EUR	
